"","District_orig","County","election_id","office_id","candidate_id","candidate_name","first_name","last_name","prefix","suffix","gender","race","ethinicity","age","incumbent"
"1","Allen (38th District)","Allen","IN_2014-11-04_GEN","TC2_Allen_38_1",NA,"Thomas J. Felts","Thomas","Felts",NA,NA,NA,NA,NA,NA,NA
"2","Benton (76th Circuit) ","Benton","IN_2014-11-04_GEN","TC2_Benton_76_1",NA,"Rex W. Kepner","Rex","Kepner",NA,NA,NA,NA,NA,NA,NA
"3","Clark (4th Circt), No. 1","Clark","IN_2014-11-04_GEN","TC2_Clark_4_1",NA,"Andrew (Drew) Adams","Andrew","Adams",NA,NA,NA,NA,NA,NA,NA
"4","Clark (4th Circt), No. 2","Clark","IN_2014-11-04_GEN","TC2_Clark_4_2",NA,"Laura A. Harbison","Laura","Harbison",NA,NA,NA,NA,NA,NA,NA
"5","Clark (4th Circt), No. 2","Clark","IN_2014-11-04_GEN","TC2_Clark_4_2",NA,"Brad Jacobs","Brad","Jacobs",NA,NA,NA,NA,NA,NA,NA
"6","Adams County ","Adams","IN_2014-11-04_GEN","TC1_Adams_1_1",NA,"Patrick R. Miller","Patrick","Miller",NA,NA,NA,NA,NA,NA,NA
"7","Clark (4th Circt), No. 3","Clark","IN_2014-11-04_GEN","TC2_Clark_4_3",NA,"Joe P. Weber","Joe","Weber",NA,NA,NA,NA,NA,NA,NA
"8","Clark (4th Circt), No. 3","Clark","IN_2014-11-04_GEN","TC2_Clark_4_3",NA,"Kyle P. Williams","Kyle","Williams",NA,NA,NA,NA,NA,NA,NA
"9","Allen Civil Div.(Bobay)","Allen","IN_2014-11-04_GEN","TC1_Allen_1_1",NA,"Craig J. Bobay","Craig","Bobay",NA,NA,NA,NA,NA,NA,NA
"10","Allen Fam.Rel. (Heath)","Allen","IN_2014-11-04_GEN","TC1_Allen_1_1",NA,"Dan Heath","Dan","Heath",NA,NA,NA,NA,NA,NA,NA
"11","Allen Civil (Levine)","Allen","IN_2014-11-04_GEN","TC1_Allen_1_1",NA,"Daniel J. Borgmann","Daniel","Borgmann",NA,NA,NA,NA,NA,NA,NA
"12","Allen Civil (Levine)","Allen","IN_2014-11-04_GEN","TC1_Allen_1_1",NA,"James P. Posey","James","Posey",NA,NA,NA,NA,NA,NA,NA
"13","Allen Civil (Levine)","Allen","IN_2014-11-04_GEN","TC1_Allen_1_1",NA,"Stanley A. Levine","Stanley","Levine",NA,NA,NA,NA,NA,NA,NA
"14","Allen Criminal (Gull)","Allen","IN_2014-11-04_GEN","TC1_Allen_1_1",NA,"Fran C. Gull","Fran","Gull",NA,NA,NA,NA,NA,NA,NA
"15","Allen Criminal (Surbeck)","Allen","IN_2014-11-04_GEN","TC1_Allen_1_1",NA,"John F. Surbeck Jr","John","Surbeck",NA,NA,NA,NA,NA,NA,NA
"16","Bartholomew County, No. 2","Bartholomew","IN_2014-11-04_GEN","TC1_Bartholomew_1_2",NA,"Kathleen (Kitty) Tighe Coriden","Kathleen","Coriden",NA,NA,NA,NA,NA,NA,NA
"17","Daviess (49th Circuit)","Daviess","IN_2014-11-04_GEN","TC2_Daviess_49_1",NA,"Gregory A. Smith","Gregory","Smith",NA,NA,NA,NA,NA,NA,NA
"18","Boone County, No. 1","Boone","IN_2014-11-04_GEN","TC1_Boone_1_1",NA,"Matt Kincaid","Matt","Kincaid",NA,NA,NA,NA,NA,NA,NA
"19","Boone County, No. 2","Boone","IN_2014-11-04_GEN","TC1_Boone_1_2",NA,"Bruce Petit","Bruce","Petit",NA,NA,NA,NA,NA,NA,NA
"20","Delaware Ct. 3(46th Cir.)","Delaware","IN_2014-11-04_GEN","TC2_Delaware_46_3",NA,"Linda Ralu Wolf","Linda","Wolf",NA,NA,NA,NA,NA,NA,NA
"21","Delaware Ct. 4(46th Cir.)","Delaware","IN_2014-11-04_GEN","TC2_Delaware_46_4",NA,"John M. Feick","John","Feick",NA,NA,NA,NA,NA,NA,NA
"22","Delaware Ct. 5(46th Cir.)","Delaware","IN_2014-11-04_GEN","TC2_Delaware_46_5",NA,"Thomas A. Cannon Jr.","Thomas","Cannon",NA,NA,NA,NA,NA,NA,NA
"23","Carroll County","Carroll","IN_2014-11-04_GEN","TC1_Carroll_1_1",NA,"Kurtis Glenn Fouts","Kurtis","Fouts",NA,NA,NA,NA,NA,NA,NA
"24","Dubois (57th Circuit)","Dubois","IN_2014-11-04_GEN","TC2_Dubois_57_1",NA,"Nathan A.  Verkamp","Nathan","Verkamp",NA,NA,NA,NA,NA,NA,NA
"25","Dubois (57th Circuit)","Dubois","IN_2014-11-04_GEN","TC2_Dubois_57_1",NA,"Kevin D. Crouse","Kevin","Crouse",NA,NA,NA,NA,NA,NA,NA
"26","Clinton County","Clinton","IN_2014-11-04_GEN","TC1_Clinton_1_1",NA,"Justin H. Hunter","Justin","Hunter",NA,NA,NA,NA,NA,NA,NA
"27","Daviess County","Daviess","IN_2014-11-04_GEN","TC1_Daviess_1_1",NA,"Dean A. Sobecki","Dean","Sobecki",NA,NA,NA,NA,NA,NA,NA
"28","Dearborn County No. 1","Dearborn","IN_2014-11-04_GEN","TC1_Dearborn_1_1",NA,"Jonathan N. Cleary","Jonathan","Cleary",NA,NA,NA,NA,NA,NA,NA
"29","Decatur County","Decatur","IN_2014-11-04_GEN","TC1_Decatur_1_1",NA,"Matthew D. Bailey","Matthew","Bailey",NA,NA,NA,NA,NA,NA,NA
"30","DeKalb County, Court 1","DeKalb","IN_2014-11-04_GEN","TC1_DeKalb_1_1",NA,"Kevin P. Wallace","Kevin","Wallace",NA,NA,NA,NA,NA,NA,NA
"31","Elkhart County, No. 1","Elkhart","IN_2014-11-04_GEN","TC1_Elkhart_1_1",NA,"Evan S. Roberts","Evan","Roberts",NA,NA,NA,NA,NA,NA,NA
"32","Adams (26th Circuit)","Adams","IN_2014-11-04_GEN","DA_Adams_26_1",NA,"Christopher E. Harvey","Christopher","Harvey",NA,NA,NA,NA,NA,NA,NA
"33","Adams (26th Circuit)","Adams","IN_2014-11-04_GEN","DA_Adams_26_1",NA,"Jeremy W. Brown","Jeremy","Brown",NA,NA,NA,NA,NA,NA,NA
