"","election_id","office_id","candidate_id","candidate","party","votes","vote_share"
"49","IN_2014-11-04_GEN","TC2_Delaware_46_3",NA,"Linda Ralu Wolf","DEM",15434,"1.00"
"50","IN_2014-11-04_GEN","TC2_Delaware_46_4",NA,"John M. Feick","REP",15834,"1.00"
"51","IN_2014-11-04_GEN","TC2_Delaware_46_5",NA,"Thomas A. Cannon Jr.","DEM",15329,"1.00"
"52","IN_2014-11-04_GEN","DA_Delaware_46_1",NA,"Jeffrey L. Arnold","REP",16155,"1.00"
"53","IN_2014-11-04_GEN","TC2_Dubois_57_1",NA,"Nathan A.  Verkamp","DEM",6729,"0.58"
"54","IN_2014-11-04_GEN","TC2_Dubois_57_1",NA,"Kevin D. Crouse","REP",4820,"0.42"
"55","IN_2014-11-04_GEN","DA_Dubois_57_1",NA,"Anthony D. Quinn","DEM",7298,"1.00"
"56","IN_2014-11-04_GEN","TC1_Elkhart_1_1",NA,"Evan S. Roberts","REP",25494,"1.00"
"57","IN_2014-11-04_GEN","TC1_Elkhart_1_3",NA,"Teresa L. Cataldo","REP",25908,"1.00"
"58","IN_2014-11-04_GEN","TC1_Elkhart_1_4",NA,"Gretchen S. Lund","REP",25516,"1.00"
"59","IN_2014-11-04_GEN","TC1_Elkhart_1_5",NA,"Charles Carter Wicks","REP",25209,"1.00"
"60","IN_2014-11-04_GEN","DA_Elkhart_34_1",NA,"Curtis T. Hill, Jr.","REP",26307,"1.00"
