"","District_orig","County","election_id","office_id","candidate_id","candidate_name","first_name","last_name","prefix","suffix","gender","race","ethinicity","age","incumbent"
"1","Adams (26th Circuit) ","Adams","IN_2012-05-08_PRI","TC2_Adams_26_1",NA,"Frederick A.  Schurger","Frederick","Schurger",NA,NA,NA,NA,NA,NA,NA
"2","Adams (26th Circuit) ","Adams","IN_2012-05-08_PRI","TC2_Adams_26_1",NA,"Chad E. Kukelhan","Chad","Kukelhan",NA,NA,NA,NA,NA,NA,NA
"3","Blackford (71st Circuit) ","Blackford","IN_2012-05-08_PRI","TC2_Blackford_71_1",NA,"Dean A. Young","Dean","Young",NA,NA,NA,NA,NA,NA,NA
"4","Boone (20th Circuit) ","Boone","IN_2012-05-08_PRI","TC2_Boone_20_1",NA,"J. Jeffrey (Jeff) Edens","J.","Edens",NA,NA,NA,NA,NA,NA,NA
"5","Brown (88th Circuit)","Brown","IN_2012-05-08_PRI","TC2_Brown_88_1",NA,"Judith A.  Stewart","Judith","Stewart",NA,NA,NA,NA,NA,NA,NA
"6","Carroll (74th Circuit) ","Carroll","IN_2012-05-08_PRI","TC2_Carroll_74_1",NA,"Benjamin A. Diener","Benjamin","Diener",NA,NA,NA,NA,NA,NA,NA
"7","Carroll (74th Circuit) ","Carroll","IN_2012-05-08_PRI","TC2_Carroll_74_1",NA,"Don Currie","Don","Currie",NA,NA,NA,NA,NA,NA,NA
"8","Cass (29th Circuit)","Cass","IN_2012-05-08_PRI","TC2_Cass_29_1",NA,"Leo T. Burns","Leo","Burns",NA,NA,NA,NA,NA,NA,NA
"9","Cass (29th Circuit)","Cass","IN_2012-05-08_PRI","TC2_Cass_29_1",NA,"Douglas A. Cox","Douglas","Cox",NA,NA,NA,NA,NA,NA,NA
"10","Clark (4th Circt), No. 1","Clark","IN_2012-05-08_PRI","TC2_Clark_4_1",NA,"Vicki L. Carmichael","Vicki","Carmichael",NA,NA,NA,NA,NA,NA,NA
"11","Clay (13th Circuit)","Clay","IN_2012-05-08_PRI","TC2_Clay_13_1",NA,"Joseph D. Trout","Joseph","Trout",NA,NA,NA,NA,NA,NA,NA
"12","Clay (13th Circuit)","Clay","IN_2012-05-08_PRI","TC2_Clay_13_1",NA,"James Edward Deal","James","Deal",NA,NA,NA,NA,NA,NA,NA
"13","Clinton (45th Circuit)","Clinton","IN_2012-05-08_PRI","TC2_Clinton_45_1",NA,"Bradley K. Mohler","Bradley","Mohler",NA,NA,NA,NA,NA,NA,NA
"14","Bartholomew County, No. 1","Bartholomew","IN_2012-05-08_PRI","TC1_Bartholomew_1_1",NA,"Chris D. Monroe","Chris","Monroe",NA,NA,NA,NA,NA,NA,NA
"15","Bartholomew County, No. 1","Bartholomew","IN_2012-05-08_PRI","TC1_Bartholomew_1_1",NA,"James (Jim) Worton","James","Worton",NA,NA,NA,NA,NA,NA,NA
"16","Decatur (69th Circuit)","Decatur","IN_2012-05-08_PRI","TC2_Decatur_69_1",NA,"Robert D. Wickens","Robert","Wickens",NA,NA,NA,NA,NA,NA,NA
"17","Decatur (69th Circuit)","Decatur","IN_2012-05-08_PRI","TC2_Decatur_69_1",NA,"Timothy B. Day","Timothy","Day",NA,NA,NA,NA,NA,NA,NA
"18","Delaware Ct. 2(46th Cir.)","Delaware","IN_2012-05-08_PRI","TC2_Delaware_46_2",NA,"Ana Quirk Hunter","Ana","Hunter",NA,NA,NA,NA,NA,NA,NA
"19","Delaware Ct. 2(46th Cir.)","Delaware","IN_2012-05-08_PRI","TC2_Delaware_46_2",NA,"Kimberly S. Dowling","Kimberly","Dowling",NA,NA,NA,NA,NA,NA,NA
"20","Delaware Ct. 2(46th Cir.)","Delaware","IN_2012-05-08_PRI","TC2_Delaware_46_2",NA,"Alan K. Wilson","Alan","Wilson",NA,NA,NA,NA,NA,NA,NA
"21","Cass County, Court 2","Cass","IN_2012-05-08_PRI","TC1_Cass_1_2",NA,"Rick Maughmer","Rick","Maughmer",NA,NA,NA,NA,NA,NA,NA
"22","Clay County","Clay","IN_2012-05-08_PRI","TC1_Clay_1_1",NA,"J.  Blaine Akers","J.","Akers",NA,NA,NA,NA,NA,NA,NA
"23","Clay County","Clay","IN_2012-05-08_PRI","TC1_Clay_1_1",NA,"Robert Alex Pell","Robert","Pell",NA,NA,NA,NA,NA,NA,NA
"24","Dearborn County, No. 2","Dearborn","IN_2012-05-08_PRI","TC1_Dearborn_1_2",NA,"N. Alan Miller III","N.","III",NA,NA,NA,NA,NA,NA,NA
"25","Dearborn County, No. 2","Dearborn","IN_2012-05-08_PRI","TC1_Dearborn_1_2",NA,"Sally A. Blankenship","Sally","Blankenship",NA,NA,NA,NA,NA,NA,NA
"26","DeKalb County, Court 2","DeKalb","IN_2012-05-08_PRI","TC1_DeKalb_1_2",NA,"Monte L. Brown","Monte","Brown",NA,NA,NA,NA,NA,NA,NA
"27","Elkhart County, No. 2","Elkhart","IN_2012-05-08_PRI","TC1_Elkhart_1_2",NA,"Phillip Earl Hesch","Phillip","Hesch",NA,NA,NA,NA,NA,NA,NA
"28","Elkhart County, No. 2","Elkhart","IN_2012-05-08_PRI","TC1_Elkhart_1_2",NA,"Stephen R. Bowers","Stephen","Bowers",NA,NA,NA,NA,NA,NA,NA
"29","Elkhart County, No. 6","Elkhart","IN_2012-05-08_PRI","TC1_Elkhart_1_6",NA,"David C. Bonfiglio","David","Bonfiglio",NA,NA,NA,NA,NA,NA,NA
