"","District_orig","County","election_id","office_id","candidate_id","candidate_name","first_name","last_name","prefix","suffix","gender","race","ethinicity","age","incumbent"
"1","Allen (38th District)","Allen","IN_2002-05-07_PRI","TC2_Allen_38_1",NA,"Thomas J. Felts","Thomas","Felts",NA,NA,NA,NA,NA,NA,NA
"2","Benton (76th Circuit) ","Benton","IN_2002-05-07_PRI","TC2_Benton_76_1",NA,"Rex Kepner","Rex","Kepner",NA,NA,NA,NA,NA,NA,NA
"3","Carroll (74th Circuit) ","Carroll","IN_2002-05-07_PRI","TC2_Carroll_74_1",NA,"Don Currie","Don","Currie",NA,NA,NA,NA,NA,NA,NA
"4","Carroll (74th Circuit) ","Carroll","IN_2002-05-07_PRI","TC2_Carroll_74_1",NA,"Joseph W. Carey","Joseph","Carey",NA,NA,NA,NA,NA,NA,NA
"5","Adams County ","Adams","IN_2002-05-07_PRI","TC1_Adams_1_1",NA,"James A. Heimann","James","Heimann",NA,NA,NA,NA,NA,NA,NA
"6","Adams County ","Adams","IN_2002-05-07_PRI","TC1_Adams_1_1",NA,"Thomas Wade Sheets","Thomas","Sheets",NA,NA,NA,NA,NA,NA,NA
"7","Adams County ","Adams","IN_2002-05-07_PRI","TC1_Adams_1_1",NA,"Patrick R. Miller","Patrick","Miller",NA,NA,NA,NA,NA,NA,NA
"8","Bartholomew County, No. 2","Bartholomew","IN_2002-05-07_PRI","TC1_Bartholomew_1_2",NA,"Kathleen (Kitty) Tighe Coriden","Kathleen","Coriden",NA,NA,NA,NA,NA,NA,NA
"9","Bartholomew County, No. 2","Bartholomew","IN_2002-05-07_PRI","TC1_Bartholomew_1_2",NA,"Roderick D. McGillivray","Roderick","McGillivray",NA,NA,NA,NA,NA,NA,NA
"10","Daviess (49th Circuit)","Daviess","IN_2002-05-07_PRI","TC2_Daviess_49_1",NA,"Robert L. Arthur","Robert","Arthur",NA,NA,NA,NA,NA,NA,NA
"11","Boone County, No. 1","Boone","IN_2002-05-07_PRI","TC1_Boone_1_1",NA,"Matt Kincaid","Matt","Kincaid",NA,NA,NA,NA,NA,NA,NA
"12","Boone County, No. 1","Boone","IN_2002-05-07_PRI","TC1_Boone_1_1",NA,"Paul S. Petticrew","Paul","Petticrew",NA,NA,NA,NA,NA,NA,NA
"13","Boone County, No. 2","Boone","IN_2002-05-07_PRI","TC1_Boone_1_2",NA,"Eileen Sims","Eileen","Sims",NA,NA,NA,NA,NA,NA,NA
"14","Boone County, No. 2","Boone","IN_2002-05-07_PRI","TC1_Boone_1_2",NA,"James R. Detamore","James","Detamore",NA,NA,NA,NA,NA,NA,NA
"15","Delaware Ct. 3(46th Cir.)","Delaware","IN_2002-05-07_PRI","TC2_Delaware_46_3",NA,"Robert L. Barnet, Jr.","Robert","Barnet",NA,NA,NA,NA,NA,NA,NA
"16","Delaware Ct. 4(46th Cir.)","Delaware","IN_2002-05-07_PRI","TC2_Delaware_46_4",NA,"James J. (Jim) Jordan","James","Jordan",NA,NA,NA,NA,NA,NA,NA
"17","Delaware Ct. 4(46th Cir.)","Delaware","IN_2002-05-07_PRI","TC2_Delaware_46_4",NA,"Linda Ralu Wolf","Linda","Wolf",NA,NA,NA,NA,NA,NA,NA
"18","Delaware Ct. 4(46th Cir.)","Delaware","IN_2002-05-07_PRI","TC2_Delaware_46_4",NA,"John M. Feick","John","Feick",NA,NA,NA,NA,NA,NA,NA
"19","Delaware Ct. 5(46th Cir.)","Delaware","IN_2002-05-07_PRI","TC2_Delaware_46_5",NA,"Wayne J. Lennington","Wayne","Lennington",NA,NA,NA,NA,NA,NA,NA
"20","Delaware Ct. 5(46th Cir.)","Delaware","IN_2002-05-07_PRI","TC2_Delaware_46_5",NA,"Brian M. Fitzwater","Brian","Fitzwater",NA,NA,NA,NA,NA,NA,NA
"21","Carroll County","Carroll","IN_2002-05-07_PRI","TC1_Carroll_1_1",NA,"Jeffrey R. Smith","Jeffrey","Smith",NA,NA,NA,NA,NA,NA,NA
"22","Dubois (57th Circuit)","Dubois","IN_2002-05-07_PRI","TC2_Dubois_57_1",NA,"William E. Weikert","William","Weikert",NA,NA,NA,NA,NA,NA,NA
"23","Clark County, No. 2","Clark","IN_2002-05-07_PRI","TC1_Clark_1_2",NA,"Cecile (Cile) A. Blau","Cecile","Blau",NA,NA,NA,NA,NA,NA,NA
"24","Clark County, No. 3","Clark","IN_2002-05-07_PRI","TC1_Clark_1_3",NA,"Steven M. Fleece","Steven","Fleece",NA,NA,NA,NA,NA,NA,NA
"25","Clinton County","Clinton","IN_2002-05-07_PRI","TC1_Clinton_1_1",NA,"Kathy R. Smith","Kathy","Smith",NA,NA,NA,NA,NA,NA,NA
"26","Daviess County","Daviess","IN_2002-05-07_PRI","TC1_Daviess_1_1",NA,"Jeffrey R. (Jeff) Norris","Jeffrey","Norris",NA,NA,NA,NA,NA,NA,NA
"27","Daviess County","Daviess","IN_2002-05-07_PRI","TC1_Daviess_1_1",NA,"Dean A. Sobecki","Dean","Sobecki",NA,NA,NA,NA,NA,NA,NA
"28","Dearborn County No. 1","Dearborn","IN_2002-05-07_PRI","TC1_Dearborn_1_1",NA,"G. Michael Witte","G.","Witte",NA,NA,NA,NA,NA,NA,NA
"29","Decatur County","Decatur","IN_2002-05-07_PRI","TC1_Decatur_1_1",NA,"W. Michael Wilke","W.","Wilke",NA,NA,NA,NA,NA,NA,NA
"30","DeKalb County, Court 1","DeKalb","IN_2002-05-07_PRI","TC1_DeKalb_1_1",NA,"Kevin P. Wallace","Kevin","Wallace",NA,NA,NA,NA,NA,NA,NA
"31","Elkhart County, No. 1","Elkhart","IN_2002-05-07_PRI","TC1_Elkhart_1_1",NA,"L. Benjamin Pfaff","L.","Pfaff",NA,NA,NA,NA,NA,NA,NA
"32","Elkhart County, No. 3","Elkhart","IN_2002-05-07_PRI","TC1_Elkhart_1_3",NA,"George W. Biddlecome","George","Biddlecome",NA,NA,NA,NA,NA,NA,NA
"33","Elkhart County, No. 4","Elkhart","IN_2002-05-07_PRI","TC1_Elkhart_1_4",NA,"Olga H. Stickel","Olga","Stickel",NA,NA,NA,NA,NA,NA,NA
"34","Elkhart County, No. 5","Elkhart","IN_2002-05-07_PRI","TC1_Elkhart_1_5",NA,"James W. Rieckhoff","James","Rieckhoff",NA,NA,NA,NA,NA,NA,NA
"35","Adams (26th Circuit) ","Adams","IN_2002-05-07_PRI","DA_Adams_26_1",NA,"Christopher E. Harvey","Christopher","Harvey",NA,NA,NA,NA,NA,NA,NA
"36","Allen (38th District)","Allen","IN_2002-05-07_PRI","DA_Allen_38_1",NA,"Karen Richards","Karen","Richards",NA,NA,NA,NA,NA,NA,NA
