"","election_id","office_id","candidate_id","candidate","party","votes","vote_share"
"1","IN_2010-11-02_GEN","DA_Adams_26_1",NA,"Christopher E. Harvey","DEM",6590,"1.00"
"2","IN_2010-11-02_GEN","TC1_Allen_1_1",NA,"David J. Avery","Non-Partisan",52333,"1.00"
"3","IN_2010-11-02_GEN","TC1_Allen_1_9",NA,"Nancy Eshcoff Boyer","Non-Partisan",52977,"1.00"
"4","IN_2010-11-02_GEN","TC1_Allen_1_4",NA,"Charles F. Pratt","Non-Partisan",60625,"1.00"
"5","IN_2010-11-02_GEN","TC1_Allen_1_1",NA,"Kenneth R. Scheibenberger","Non-Partisan",31861,"0.42"
"6","IN_2010-11-02_GEN","TC1_Allen_1_1",NA,"Lewis Griffin","Non-Partisan",8111,"0.11"
"7","IN_2010-11-02_GEN","TC1_Allen_1_1",NA,"Wendy Davis","Non-Partisan",35186,"0.47"
"8","IN_2010-11-02_GEN","DA_Allen_38_1",NA,"Karen E. Richards","REP",71018,"1.00"
"9","IN_2010-11-02_GEN","TC2_Bartholomew_9_1",NA,"Stephen R. (Steve) Heimann","DEM",11972,"1.00"
"10","IN_2010-11-02_GEN","DA_Bartholomew_9_1",NA,"William M. (Bill) Nash","REP",15413,"1.00"
"11","IN_2010-11-02_GEN","DA_Benton_76_1",NA,"John C. Wright","REP",1846,"1.00"
"12","IN_2010-11-02_GEN","TC1_Blackford_1_1",NA,"David M. Payne","DEM",1441,"0.37"
"13","IN_2010-11-02_GEN","TC1_Blackford_1_1",NA,"Nick Barry","REP",2426,"0.63"
"14","IN_2010-11-02_GEN","DA_Blackford_71_1",NA,"Kevin N. Basey","REP",2938,"1.00"
"15","IN_2010-11-02_GEN","DA_Boone_20_1",NA,"Todd J. Meyer","REP",16002,"1.00"
"16","IN_2010-11-02_GEN","DA_Brown_88_1",NA,"James R. Oliver","DEM",3224,"0.52"
"17","IN_2010-11-02_GEN","DA_Brown_88_1",NA,"James T. Roberts","REP",3029,"0.48"
"18","IN_2010-11-02_GEN","DA_Carroll_74_1",NA,"Abigail A. Huffer","DEM",2603,"0.44"
"19","IN_2010-11-02_GEN","DA_Carroll_74_1",NA,"Robert T. (Rob) Ives","REP",3368,"0.56"
"20","IN_2010-11-02_GEN","TC1_Cass_1_1",NA,"Thomas C. Perrone","DEM",7244,"1.00"
"21","IN_2010-11-02_GEN","DA_Cass_29_1",NA,"Kevin S. Enyeart","REP",8421,"1.00"
"22","IN_2010-11-02_GEN","DA_Clark_4_1",NA,"Steven D. Stewart","DEM",20143,"1.00"
"23","IN_2010-11-02_GEN","DA_Clay_13_1",NA,"Charles Hear","DEM",2857,"0.35"
"24","IN_2010-11-02_GEN","DA_Clay_13_1",NA,"B. Lee Reberger, Jr.","REP",5224,"0.65"
"25","IN_2010-11-02_GEN","DA_Clinton_45_1",NA,"Anthony J. Sommer","REP",5917,"1.00"
"26","IN_2010-11-02_GEN","TC2_Crawford_77_1",NA,"Kenneth Lynn Lopp","DEM",2687,"1.00"
"27","IN_2010-11-02_GEN","DA_Crawford_77_1",NA,"Cheryl J. Hillenburg","DEM",2280,"0.57"
"28","IN_2010-11-02_GEN","DA_Crawford_77_1",NA,"Lester V. Shelton","REP",1693,"0.43"
"29","IN_2010-11-02_GEN","DA_Daviess_49_1",NA,"Dan Murrie","REP",5492,"1.00"
"30","IN_2010-11-02_GEN","TC2_Dearborn_7_1",NA,"James D. Humphrey","REP",12639,"1.00"
"31","IN_2010-11-02_GEN","DA_Dearborn_7_1",NA,"Aaron Negangard","REP",12081,"1.00"
"32","IN_2010-11-02_GEN","DA_Decatur_69_1",NA,"James B. Rosenberry","REP",5931,"1.00"
"33","IN_2010-11-02_GEN","TC2_DeKalb_75_1",NA,"Kirk D. Carpenter","DEM",7144,"1.00"
"34","IN_2010-11-02_GEN","DA_DeKalb_75_1",NA,"ClaraMary Winebrenner","REP",8952,"1.00"
"35","IN_2010-11-02_GEN","TC2_Delaware_46_1",NA,"Marianne Lafferty Vorhees","DEM",21139,"1.00"
"36","IN_2010-11-02_GEN","DA_Delaware_46_1",NA,"J. A. Cummins","DEM",12075,"0.39"
"37","IN_2010-11-02_GEN","DA_Delaware_46_1",NA,"Jeffrey L. Arnold","REP",18534,"0.61"
"38","IN_2010-11-02_GEN","TC1_Dubois_1_1",NA,"Michael A. Fritch","DEM",4981,"0.36"
"39","IN_2010-11-02_GEN","TC1_Dubois_1_1",NA,"Mark R. McConnell","REP",8866,"0.64"
"40","IN_2010-11-02_GEN","DA_Dubois_57_1",NA,"Kurt Leinenbach","DEM",6273,"0.46"
"41","IN_2010-11-02_GEN","DA_Dubois_57_1",NA,"Kevin D. Crouse","REP",7513,"0.54"
"42","IN_2010-11-02_GEN","TC2_Elkhart_34_1",NA,"Terry C. Shewmaker","REP",35152,"1.00"
"43","IN_2010-11-02_GEN","DA_Elkhart_34_1",NA,"Curtis T. Hill, Jr.","REP",35158,"1.00"
