"","election_id","office_id","candidate_id","candidate","party","votes","vote_share"
"1","IN_2020-06-02_PRI","TC1_Adams_1_1",NA,"Patrick R. Miller","REP",3889,"1.00"
"2","IN_2020-06-02_PRI","TC2_Allen_1_1",NA,"Wendy Davis","REP",26862,"1.00"
"3","IN_2020-06-02_PRI","TC1_Bartholomew_1_1",NA,"Dom Glover","REP",2194,"0.21"
"4","IN_2020-06-02_PRI","TC1_Bartholomew_1_1",NA,"Jonathan L. (Jon) Rohde","REP",3274,"0.32"
"5","IN_2020-06-02_PRI","TC1_Bartholomew_1_1",NA,"Joseph (Joe) W. Meek","REP",1868,"0.18"
"6","IN_2020-06-02_PRI","TC1_Bartholomew_1_1",NA,"Scott C. Andrews","REP",2919,"0.28"
"7","IN_2020-06-02_PRI","TC2_Benton_1_1",NA,"John C. Wright","REP",1692,"1.00"
"8","IN_2020-06-02_PRI","CK2_Blackford_1_1",NA,"Kimberly Pitts","REP",1094,"1.00"
"9","IN_2020-06-02_PRI","TC1_Boone_1_1",NA,"Bruce E. Petit","REP",7038,"0.49"
"10","IN_2020-06-02_PRI","TC1_Boone_1_1",NA,"Matthew C. Kincaid","REP",7349,"0.51"
"11","IN_2020-06-02_PRI","CK2_Carroll_1_1",NA,"Callie Schimmel","REP",1230,"0.45"
"12","IN_2020-06-02_PRI","CK2_Carroll_1_1",NA,"Sharon Milburn","REP",1517,"0.55"
"13","IN_2020-06-02_PRI","CK2_Cass_1_1",NA,"Craig Handy","REP",1775,"0.44"
"14","IN_2020-06-02_PRI","CK2_Cass_1_1",NA,"Destry Richey","REP",2268,"0.56"
"15","IN_2020-06-02_PRI","TC2_Clark_1_1",NA,"Andrew (Drew) Adams","DEM",8449,"0.19"
"16","IN_2020-06-02_PRI","TC2_Clark_1_1",NA,"Joseph P. Weber","DEM",9021,"0.21"
"17","IN_2020-06-02_PRI","TC2_Clark_1_1",NA,"Bradley Jacobs","REP",8482,"0.19"
"18","IN_2020-06-02_PRI","TC2_Clark_1_1",NA,"Dan Moore","REP",6389,"0.15"
"19","IN_2020-06-02_PRI","TC2_Clark_1_1",NA,"Kyle P. Williams","REP",3445,"0.08"
"20","IN_2020-06-02_PRI","TC2_Clark_1_1",NA,"N. Lisa Glickfield","REP",7894,"0.18"
"21","IN_2020-06-02_PRI","CK2_Clay_1_1",NA,"Amy Ellen (Knox) Jordan","REP",2230,"1.00"
"22","IN_2020-06-02_PRI","TC1_Clinton_1_1",NA,"Justin Harold Hunter","REP",3516,"1.00"
"23","IN_2020-06-02_PRI","TC2_Daviess_1_1",NA,"Gregory A. Smith","REP",3447,"1.00"
"24","IN_2020-06-02_PRI","TC1_Daviess_1_1",NA,"Dean A. Sobecki","REP",3397,"1.00"
"25","IN_2020-06-02_PRI","CK2_Dearborn_1_1",NA,"Gayle L Pennington","REP",4488,"1.00"
"26","IN_2020-06-02_PRI","TC1_Dearborn_1_1",NA,"Jonathan N. Cleary","REP",4633,"1.00"
"27","IN_2020-06-02_PRI","TC1_Decatur_1_1",NA,"Matthew D. Bailey","REP",3315,"1.00"
"28","IN_2020-06-02_PRI","CK2_DeKalb_1_1",NA,"Holly A Albright","REP",4326,"1.00"
"29","IN_2020-06-02_PRI","TC1_DeKalb_1_1",NA,"Adam Squiller","REP",4108,"1.00"
"30","IN_2020-06-02_PRI","TC2_Delaware_1_1",NA,"Linda Ralu Wolf","DEM",8206,"0.34"
"31","IN_2020-06-02_PRI","TC2_Delaware_1_1",NA,"Thomas A. Cannon Jr.","DEM",7815,"0.33"
"32","IN_2020-06-02_PRI","TC2_Delaware_1_1",NA,"John M. Feick","REP",7881,"0.33"
"33","IN_2020-06-02_PRI","TC2_Dubois_1_1",NA,"Nathan A. Verkamp","DEM",2440,"1.00"
"34","IN_2020-06-02_PRI","TC1_Elkhart_1_1",NA,"Charles Carter Wicks","REP",2952,"0.05"
"35","IN_2020-06-02_PRI","TC1_Elkhart_1_1",NA,"Christopher J. (Chris) Spataro","REP",8161,"0.13"
"36","IN_2020-06-02_PRI","TC1_Elkhart_1_1",NA,"Eric Kinsman","REP",4480,"0.07"
"37","IN_2020-06-02_PRI","TC1_Elkhart_1_1",NA,"Gretchen S. Lund","REP",14929,"0.24"
"38","IN_2020-06-02_PRI","TC1_Elkhart_1_1",NA,"Kristine Osterday","REP",8281,"0.14"
"39","IN_2020-06-02_PRI","TC1_Elkhart_1_1",NA,"Martin A. (Marty) McCloskey","REP",7426,"0.12"
"40","IN_2020-06-02_PRI","TC1_Elkhart_1_1",NA,"Teresa L. Cataldo","REP",14945,"0.24"
