"","election_id","office_id","candidate_id","candidate","party","votes","vote_share"
"1","IN_2006-11-07_GEN","TC2_Adams_26_1",NA,"Frederick A. Schurger","DEM",6702,"1.00"
"2","IN_2006-11-07_GEN","DA_Adams_26_1",NA,"Christopher E. Harvey","DEM",6694,"1.00"
"3","IN_2006-11-07_GEN","DA_Allen_38_1",NA,"Karen Richards","REP",64650,"1.00"
"4","IN_2006-11-07_GEN","TC1_Bartholomew_1_1",NA,"Eric Hayes","DEM",8649,"0.41"
"5","IN_2006-11-07_GEN","TC1_Bartholomew_1_1",NA,"Chris D. Monroe","REP",12402,"0.59"
"6","IN_2006-11-07_GEN","DA_Bartholomew_9_1",NA,"William M. (Bill) Nash","REP",15771,"1.00"
"7","IN_2006-11-07_GEN","DA_Benton_76_1",NA,"William B. Weist","REP",2089,"1.00"
"8","IN_2006-11-07_GEN","TC2_Blackford_71_1",NA,"Dean A. Young","REP",2914,"1.00"
"9","IN_2006-11-07_GEN","DA_Blackford_71_1",NA,"Kevin N. Basey","REP",2917,"1.00"
"10","IN_2006-11-07_GEN","TC2_Boone_20_1",NA,"Steve David","REP",11368,"1.00"
"11","IN_2006-11-07_GEN","DA_Boone_20_1",NA,"Todd J. Meyer","REP",11200,"1.00"
"12","IN_2006-11-07_GEN","TC2_Brown_88_1",NA,"Judith A. Stewart","DEM",4633,"1.00"
"13","IN_2006-11-07_GEN","DA_Brown_88_1",NA,"James R. Oliver","DEM",3769,"0.62"
"14","IN_2006-11-07_GEN","DA_Brown_88_1",NA,"Andrew Szakaly","REP",2310,"0.38"
"15","IN_2006-11-07_GEN","TC2_Carroll_74_1",NA,"Don Currie","REP",4855,"1.00"
"16","IN_2006-11-07_GEN","DA_Carroll_74_1",NA,"James R. Huffer","DEM",2516,"0.40"
"17","IN_2006-11-07_GEN","DA_Carroll_74_1",NA,"Tricia L. Thompson","REP",3841,"0.60"
"18","IN_2006-11-07_GEN","TC2_Cass_29_1",NA,"Leo T. Burns","DEM",5982,"0.54"
"19","IN_2006-11-07_GEN","TC2_Cass_29_1",NA,"Sheryl M. Pherson","REP",5140,"0.46"
"20","IN_2006-11-07_GEN","TC1_Cass_1_2",NA,"Rick Maughmer","REP",8090,"1.00"
"21","IN_2006-11-07_GEN","DA_Cass_29_1",NA,"Kevin S. Enyeart","REP",7999,"1.00"
"22","IN_2006-11-07_GEN","TC1_Clark_1_1",NA,"Vicki Carmichael","DEM",19887,"0.61"
"23","IN_2006-11-07_GEN","TC1_Clark_1_1",NA,"Steven P. (Steve) Langdon","REP",12806,"0.39"
"24","IN_2006-11-07_GEN","DA_Clark_4_1",NA,"Steven D. Stewart","DEM",22632,"1.00"
"25","IN_2006-11-07_GEN","TC2_Clay_13_1",NA,"Joseph Dom Trout","DEM",4593,"0.53"
"26","IN_2006-11-07_GEN","TC2_Clay_13_1",NA,"Robert Alex Pell","REP",4053,"0.47"
"27","IN_2006-11-07_GEN","TC1_Clay_1_1",NA,"J. Blaine Akers","DEM",6836,"1.00"
"28","IN_2006-11-07_GEN","DA_Clay_13_1",NA,"B. Lee Reberger, Jr.","REP",6310,"1.00"
"29","IN_2006-11-07_GEN","TC2_Clinton_45_1",NA,"Linley E. Pearson","REP",6064,"1.00"
"30","IN_2006-11-07_GEN","DA_Clinton_45_1",NA,"Louis D. Evans","DEM",3629,"0.45"
"31","IN_2006-11-07_GEN","DA_Clinton_45_1",NA,"Anthony J. Sommer","REP",4351,"0.55"
"32","IN_2006-11-07_GEN","DA_Crawford_77_1",NA,"Cheryl Hillenburg","DEM",2660,"0.67"
"33","IN_2006-11-07_GEN","DA_Crawford_77_1",NA,"Lester V. Shelton","REP",1319,"0.33"
"34","IN_2006-11-07_GEN","DA_Daviess_49_1",NA,"G. Byron Overton","REP",5728,"1.00"
"35","IN_2006-11-07_GEN","TC1_Dearborn_1_2",NA,"Sally A. Blankenship","REP",9637,"1.00"
"36","IN_2006-11-07_GEN","DA_Dearborn_7_1",NA,"Aaron Negangard","REP",9424,"1.00"
"37","IN_2006-11-07_GEN","TC2_Decatur_69_1",NA,"John A. Westhafer","REP",5659,"1.00"
"38","IN_2006-11-07_GEN","DA_Decatur_69_1",NA,"William O. Smith","DEM",4918,"1.00"
"39","IN_2006-11-07_GEN","TC1_DeKalb_1_2",NA,"Monte L. Brown","REP",8307,"1.00"
"40","IN_2006-11-07_GEN","DA_DeKalb_75_1",NA,"ClaraMary Winebrenner","REP",8100,"1.00"
"41","IN_2006-11-07_GEN","TC2_Delaware_46_2",NA,"Richard A. Dailey","DEM",23383,"1.00"
"42","IN_2006-11-07_GEN","DA_Delaware_46_1",NA,"Mark R. McKinney","DEM",20409,"0.62"
"43","IN_2006-11-07_GEN","DA_Delaware_46_1",NA,"Mark A. Delgado","REP",12474,"0.38"
"44","IN_2006-11-07_GEN","DA_Dubois_57_1",NA,"Michael A. Fritch","DEM",9424,"1.00"
"45","IN_2006-11-07_GEN","TC1_Elkhart_1_2",NA,"Stephen R. Bowers","REP",32541,"1.00"
"46","IN_2006-11-07_GEN","TC1_Elkhart_1_6",NA,"David C. Bonfiglio","REP",32302,"1.00"
"47","IN_2006-11-07_GEN","DA_Elkhart_34_1",NA,"Curtis T. Hill, Jr.","REP",33361,"1.00"
