"","District_orig","County","election_id","office_id","candidate_id","candidate_name","first_name","last_name","prefix","suffix","gender","race","ethinicity","age","incumbent"
"1","Bartholomew (9th Circuit)","Bartholomew","IN_2016-05-03_PRI","TC2_Bartholomew_9_1",NA,"Kelly S. Benjamin","Kelly","Benjamin",NA,NA,NA,NA,NA,NA,NA
"2","Bartholomew (9th Circuit)","Bartholomew","IN_2016-05-03_PRI","TC2_Bartholomew_9_1",NA,"Scott Andrews","Scott","Andrews",NA,NA,NA,NA,NA,NA,NA
"3","Crawford (77th Circuit)","Crawford","IN_2016-05-03_PRI","TC2_Crawford_77_1",NA,"Stanley O. Faith","Stanley","Faith",NA,NA,NA,NA,NA,NA,NA
"4","Crawford (77th Circuit)","Crawford","IN_2016-05-03_PRI","TC2_Crawford_77_1",NA,"Stanley V. Pennington","Stanley","Pennington",NA,NA,NA,NA,NA,NA,NA
"5","Crawford (77th Circuit)","Crawford","IN_2016-05-03_PRI","TC2_Crawford_77_1",NA,"Justin B. Mills","Justin","Mills",NA,NA,NA,NA,NA,NA,NA
"6","Crawford (77th Circuit)","Crawford","IN_2016-05-03_PRI","TC2_Crawford_77_1",NA,"Sabrina R. Bell","Sabrina","Bell",NA,NA,NA,NA,NA,NA,NA
"7","Dearborn/Ohio (7th Cir.)","Dearborn","IN_2016-05-03_PRI","TC2_Dearborn_7_1",NA,"James D. Humphrey","James","Humphrey",NA,NA,NA,NA,NA,NA,NA
"8","Blackford County","Blackford","IN_2016-05-03_PRI","TC1_Blackford_1_1",NA,"Nick Barry","Nick","Barry",NA,NA,NA,NA,NA,NA,NA
"9","DeKalb (75th Circuit)","DeKalb","IN_2016-05-03_PRI","TC2_DeKalb_75_1",NA,"Kevin L. Likes","Kevin","Likes",NA,NA,NA,NA,NA,NA,NA
"10","DeKalb (75th Circuit)","DeKalb","IN_2016-05-03_PRI","TC2_DeKalb_75_1",NA,"Kurt Grimm","Kurt","Grimm",NA,NA,NA,NA,NA,NA,NA
"11","Delaware Ct. 1(46th Cir.)","Delaware","IN_2016-05-03_PRI","TC2_Delaware_46_1",NA,"Marianne Lafferty Vorhees","Marianne","Vorhees",NA,NA,NA,NA,NA,NA,NA
"12","Cass County, Court 1","Cass","IN_2016-05-03_PRI","TC1_Cass_1_1",NA,"James K. (Jim) Muehlhausen","James","Muehlhausen",NA,NA,NA,NA,NA,NA,NA
"13","Elkhart (34th Circuit)","Elkhart","IN_2016-05-03_PRI","TC2_Elkhart_34_1",NA,"Bodie J. Stegelmann","Bodie","Stegelmann",NA,NA,NA,NA,NA,NA,NA
"14","Elkhart (34th Circuit)","Elkhart","IN_2016-05-03_PRI","TC2_Elkhart_34_1",NA,"Christopher J. Spataro","Christopher","Spataro",NA,NA,NA,NA,NA,NA,NA
"15","Elkhart (34th Circuit)","Elkhart","IN_2016-05-03_PRI","TC2_Elkhart_34_1",NA,"Martin (Marty) McCloskey","Martin","McCloskey",NA,NA,NA,NA,NA,NA,NA
"16","Elkhart (34th Circuit)","Elkhart","IN_2016-05-03_PRI","TC2_Elkhart_34_1",NA,"Michael A. Christofeno","Michael","Christofeno",NA,NA,NA,NA,NA,NA,NA
