"","District_orig","County","election_id","office_id","candidate_id","candidate_name","first_name","last_name","prefix","suffix","gender","race","ethinicity","age","incumbent"
"60","DeKalb","DeKalb","IN_2020-11-03_GEN","TC1_DeKalb_1_1",NA,"Adam Squiller","Adam","Squiller",NA,NA,NA,NA,NA,NA,NA
"61","Boone","Boone","IN_2020-11-03_GEN","TC1_Boone_1_1",NA,"Bruce E. Petit","Bruce","Petit",NA,NA,NA,NA,NA,NA,NA
"62","Elkhart","Elkhart","IN_2020-11-03_GEN","TC1_Elkhart_1_1",NA,"Christopher J. (Chris) Spataro","Christopher","Spataro",NA,NA,NA,NA,NA,NA,NA
"63","Daviess","Daviess","IN_2020-11-03_GEN","TC1_Daviess_1_1",NA,"Dean A. Sobecki","Dean","Sobecki",NA,NA,NA,NA,NA,NA,NA
"64","Elkhart","Elkhart","IN_2020-11-03_GEN","TC1_Elkhart_1_1",NA,"Gretchen S. Lund","Gretchen","Lund",NA,NA,NA,NA,NA,NA,NA
"65","Bartholomew","Bartholomew","IN_2020-11-03_GEN","TC1_Bartholomew_1_1",NA,"Jonathan L. (Jon) Rohde","Jonathan","Rohde",NA,NA,NA,NA,NA,NA,NA
"66","Dearborn","Dearborn","IN_2020-11-03_GEN","TC1_Dearborn_1_1",NA,"Jonathan N. Cleary","Jonathan","Cleary",NA,NA,NA,NA,NA,NA,NA
"67","Clinton","Clinton","IN_2020-11-03_GEN","TC1_Clinton_1_1",NA,"Justin Harold Hunter","Justin","Hunter",NA,NA,NA,NA,NA,NA,NA
"68","Elkhart","Elkhart","IN_2020-11-03_GEN","TC1_Elkhart_1_1",NA,"Kristine Osterday","Kristine","Osterday",NA,NA,NA,NA,NA,NA,NA
"69","Boone","Boone","IN_2020-11-03_GEN","TC1_Boone_1_1",NA,"Matthew C. Kincaid","Matthew","Kincaid",NA,NA,NA,NA,NA,NA,NA
"70","Decatur","Decatur","IN_2020-11-03_GEN","TC1_Decatur_1_1",NA,"Matthew D. Bailey","Matthew","Bailey",NA,NA,NA,NA,NA,NA,NA
"71","Adams","Adams","IN_2020-11-03_GEN","TC1_Adams_1_1",NA,"Patrick R. Miller","Patrick","Miller",NA,NA,NA,NA,NA,NA,NA
"72","Elkhart","Elkhart","IN_2020-11-03_GEN","TC1_Elkhart_1_1",NA,"Teresa L. Cataldo","Teresa","Cataldo",NA,NA,NA,NA,NA,NA,NA
"73","Carroll","Carroll","IN_2020-11-03_GEN","TC1_Carroll_1_1",NA,"Troy Hawkins","Troy","Hawkins",NA,NA,NA,NA,NA,NA,NA
"74","Clay","Clay","IN_2020-11-03_GEN","CK2_Clay_1_1",NA,"Amy Ellen (Knox) Jordan","Amy","Jordan",NA,NA,NA,NA,NA,NA,NA
"75","Cass","Cass","IN_2020-11-03_GEN","CK2_Cass_1_1",NA,"Destry Richey","Destry","Richey",NA,NA,NA,NA,NA,NA,NA
"76","Dearborn","Dearborn","IN_2020-11-03_GEN","CK2_Dearborn_1_1",NA,"Gayle L Pennington","Gayle","Pennington",NA,NA,NA,NA,NA,NA,NA
"77","DeKalb","DeKalb","IN_2020-11-03_GEN","CK2_DeKalb_1_1",NA,"Holly A Albright","Holly","Albright",NA,NA,NA,NA,NA,NA,NA
"78","Blackford","Blackford","IN_2020-11-03_GEN","CK2_Blackford_1_1",NA,"Kimberly Pitts","Kimberly","Pitts",NA,NA,NA,NA,NA,NA,NA
"79","Carroll","Carroll","IN_2020-11-03_GEN","CK2_Carroll_1_1",NA,"Sharon Milburn","Sharon","Milburn",NA,NA,NA,NA,NA,NA,NA
