"","District_orig","County","election_id","office_id","candidate_id","candidate_name","first_name","last_name","prefix","suffix","gender","race","ethinicity","age","incumbent"
"1","Adams (26th Circuit) ","Adams","IN_2006-05-02_PRI","TC2_Adams_26_1",NA,"Frederick A. Schurger","Frederick","Schurger",NA,NA,NA,NA,NA,NA,NA
"2","Blackford (71st Circuit) ","Blackford","IN_2006-05-02_PRI","TC2_Blackford_71_1",NA,"Dean A. Young","Dean","Young",NA,NA,NA,NA,NA,NA,NA
"3","Boone (20th Circuit) ","Boone","IN_2006-05-02_PRI","TC2_Boone_20_1",NA,"Steve David","Steve","David",NA,NA,NA,NA,NA,NA,NA
"4","Brown (88th Circuit)","Brown","IN_2006-05-02_PRI","TC2_Brown_88_1",NA,"Judith A. Stewart","Judith","Stewart",NA,NA,NA,NA,NA,NA,NA
"5","Carroll (74th Circuit) ","Carroll","IN_2006-05-02_PRI","TC2_Carroll_74_1",NA,"Don Currie","Don","Currie",NA,NA,NA,NA,NA,NA,NA
"6","Cass (29th Circuit)","Cass","IN_2006-05-02_PRI","TC2_Cass_29_1",NA,"Patrick E. McNarny","Patrick","McNarny",NA,NA,NA,NA,NA,NA,NA
"7","Cass (29th Circuit)","Cass","IN_2006-05-02_PRI","TC2_Cass_29_1",NA,"Robert Leirer Justice","Robert","Justice",NA,NA,NA,NA,NA,NA,NA
"8","Cass (29th Circuit)","Cass","IN_2006-05-02_PRI","TC2_Cass_29_1",NA,"Sheryl M. Pherson","Sheryl","Pherson",NA,NA,NA,NA,NA,NA,NA
"9","Clay (13th Circuit)","Clay","IN_2006-05-02_PRI","TC2_Clay_13_1",NA,"Joseph Dom Trout","Joseph","Trout",NA,NA,NA,NA,NA,NA,NA
"10","Clay (13th Circuit)","Clay","IN_2006-05-02_PRI","TC2_Clay_13_1",NA,"Robert Alex Pell","Robert","Pell",NA,NA,NA,NA,NA,NA,NA
"11","Clinton (45th Circuit)","Clinton","IN_2006-05-02_PRI","TC2_Clinton_45_1",NA,"Linley E. Pearson","Linley","Pearson",NA,NA,NA,NA,NA,NA,NA
"12","Bartholomew County, No. 1","Bartholomew","IN_2006-05-02_PRI","TC1_Bartholomew_1_1",NA,"Eric Hayes","Eric","Hayes",NA,NA,NA,NA,NA,NA,NA
"13","Bartholomew County, No. 1","Bartholomew","IN_2006-05-02_PRI","TC1_Bartholomew_1_1",NA,"Chris D. Monroe","Chris","Monroe",NA,NA,NA,NA,NA,NA,NA
"14","Bartholomew County, No. 1","Bartholomew","IN_2006-05-02_PRI","TC1_Bartholomew_1_1",NA,"David A. Nowak","David","Nowak",NA,NA,NA,NA,NA,NA,NA
"15","Decatur (69th Circuit)","Decatur","IN_2006-05-02_PRI","TC2_Decatur_69_1",NA,"John A. Westhafer","John","Westhafer",NA,NA,NA,NA,NA,NA,NA
"16","Delaware Ct. 2(46th Cir.)","Delaware","IN_2006-05-02_PRI","TC2_Delaware_46_2",NA,"Richard A. Dailey","Richard","Dailey",NA,NA,NA,NA,NA,NA,NA
"17","Cass County, Court 2","Cass","IN_2006-05-02_PRI","TC1_Cass_1_2",NA,"Rick Maughmer","Rick","Maughmer",NA,NA,NA,NA,NA,NA,NA
"18","Clark County, No. 1","Clark","IN_2006-05-02_PRI","TC1_Clark_1_1",NA,"Jerome F. (Jerry) Jacobi","Jerome","Jacobi",NA,NA,NA,NA,NA,NA,NA
"19","Clark County, No. 1","Clark","IN_2006-05-02_PRI","TC1_Clark_1_1",NA,"Vicki Carmichael","Vicki","Carmichael",NA,NA,NA,NA,NA,NA,NA
"20","Clark County, No. 1","Clark","IN_2006-05-02_PRI","TC1_Clark_1_1",NA,"Steven P. (Steve) Langdon","Steven","Langdon",NA,NA,NA,NA,NA,NA,NA
"21","Clay County","Clay","IN_2006-05-02_PRI","TC1_Clay_1_1",NA,"J. Blaine Akers","J.","Akers",NA,NA,NA,NA,NA,NA,NA
"22","Dearborn County, No. 2","Dearborn","IN_2006-05-02_PRI","TC1_Dearborn_1_2",NA,"Sally A. Blankenship","Sally","Blankenship",NA,NA,NA,NA,NA,NA,NA
"23","DeKalb County, Court 2","DeKalb","IN_2006-05-02_PRI","TC1_DeKalb_1_2",NA,"Monte L. Brown","Monte","Brown",NA,NA,NA,NA,NA,NA,NA
"24","Adams (26th Circuit)","Adams","IN_2006-05-02_PRI","DA_Adams_26_1",NA,"Christopher E. Harvey","Christopher","Harvey",NA,NA,NA,NA,NA,NA,NA
"25","Elkhart County, No. 2","Elkhart","IN_2006-05-02_PRI","TC1_Elkhart_1_2",NA,"Stephen E. Platt","Stephen","Platt",NA,NA,NA,NA,NA,NA,NA
"26","Elkhart County, No. 2","Elkhart","IN_2006-05-02_PRI","TC1_Elkhart_1_2",NA,"Stephen R. Bowers","Stephen","Bowers",NA,NA,NA,NA,NA,NA,NA
"27","Allen (38th Circuit)","Allen","IN_2006-05-02_PRI","DA_Allen_38_1",NA,"Karen Richards","Karen","Richards",NA,NA,NA,NA,NA,NA,NA
"28","Bartholomew (9th Circuit)","Bartholomew","IN_2006-05-02_PRI","DA_Bartholomew_9_1",NA,"William M. (Bill) Nash","William","Nash",NA,NA,NA,NA,NA,NA,NA
"29","Benton (76th Circuit)","Benton","IN_2006-05-02_PRI","DA_Benton_76_1",NA,"Jud Barce","Jud","Barce",NA,NA,NA,NA,NA,NA,NA
"30","Benton (76th Circuit)","Benton","IN_2006-05-02_PRI","DA_Benton_76_1",NA,"William B. Weist","William","Weist",NA,NA,NA,NA,NA,NA,NA
"31","Elkhart County, No. 6","Elkhart","IN_2006-05-02_PRI","TC1_Elkhart_1_6",NA,"David C. Bonfiglio","David","Bonfiglio",NA,NA,NA,NA,NA,NA,NA
"32","Blackford (71st Circuit)","Blackford","IN_2006-05-02_PRI","DA_Blackford_71_1",NA,"Kevin N. Basey","Kevin","Basey",NA,NA,NA,NA,NA,NA,NA
"33","Boone (20th Circuit)","Boone","IN_2006-05-02_PRI","DA_Boone_20_1",NA,"Todd J. Meyer","Todd","Meyer",NA,NA,NA,NA,NA,NA,NA
"34","Brown (88th Circuit)","Brown","IN_2006-05-02_PRI","DA_Brown_88_1",NA,"James R. Oliver","James","Oliver",NA,NA,NA,NA,NA,NA,NA
"35","Brown (88th Circuit)","Brown","IN_2006-05-02_PRI","DA_Brown_88_1",NA,"Andrew Szakaly","Andrew","Szakaly",NA,NA,NA,NA,NA,NA,NA
"36","Carroll (74th Circuit)","Carroll","IN_2006-05-02_PRI","DA_Carroll_74_1",NA,"Robert T. Ives","Robert","Ives",NA,NA,NA,NA,NA,NA,NA
"37","Carroll (74th Circuit)","Carroll","IN_2006-05-02_PRI","DA_Carroll_74_1",NA,"Tricia L. Thompson","Tricia","Thompson",NA,NA,NA,NA,NA,NA,NA
"38","Cass (29th Circuit)","Cass","IN_2006-05-02_PRI","DA_Cass_29_1",NA,"Kevin S. Enyeart","Kevin","Enyeart",NA,NA,NA,NA,NA,NA,NA
"39","Clark (4th Circuit)","Clark","IN_2006-05-02_PRI","DA_Clark_4_1",NA,"Steven D. Stewart","Steven","Stewart",NA,NA,NA,NA,NA,NA,NA
"40","Clay (13th Circuit)","Clay","IN_2006-05-02_PRI","DA_Clay_13_1",NA,"B. Lee Reberger, Jr.","B.","Reberger",NA,NA,NA,NA,NA,NA,NA
"41","Clinton (45th Circuit)","Clinton","IN_2006-05-02_PRI","DA_Clinton_45_1",NA,"Louis D. Evans","Louis","Evans",NA,NA,NA,NA,NA,NA,NA
"42","Clinton (45th Circuit)","Clinton","IN_2006-05-02_PRI","DA_Clinton_45_1",NA,"Anthony J. Sommer","Anthony","Sommer",NA,NA,NA,NA,NA,NA,NA
"43","Clinton (45th Circuit)","Clinton","IN_2006-05-02_PRI","DA_Clinton_45_1",NA,"F. Scott Stuard","F.","Stuard",NA,NA,NA,NA,NA,NA,NA
"44","Crawford (77th Circuit)","Crawford","IN_2006-05-02_PRI","DA_Crawford_77_1",NA,"Cheryl Hillenburg","Cheryl","Hillenburg",NA,NA,NA,NA,NA,NA,NA
"45","Crawford (77th Circuit)","Crawford","IN_2006-05-02_PRI","DA_Crawford_77_1",NA,"Jimmie L. Montgomery","Jimmie","Montgomery",NA,NA,NA,NA,NA,NA,NA
"46","Daviess (49th Circuit)","Daviess","IN_2006-05-02_PRI","DA_Daviess_49_1",NA,"G. Byron Overton","G.","Overton",NA,NA,NA,NA,NA,NA,NA
"47","Dearborn & Ohio(7th Cir.)","Dearborn","IN_2006-05-02_PRI","DA_Dearborn_7_1",NA,"Aaron Negangard","Aaron","Negangard",NA,NA,NA,NA,NA,NA,NA
"48","Decatur (69th Circuit)","Decatur","IN_2006-05-02_PRI","DA_Decatur_69_1",NA,"William O. Smith","William","Smith",NA,NA,NA,NA,NA,NA,NA
"49","DeKalb (75th Circuit)","DeKalb","IN_2006-05-02_PRI","DA_DeKalb_75_1",NA,"ClaraMary Winebrenner","ClaraMary","Winebrenner",NA,NA,NA,NA,NA,NA,NA
"50","DeKalb (75th Circuit)","DeKalb","IN_2006-05-02_PRI","DA_DeKalb_75_1",NA,"Gregory J. Kenner","Gregory","Kenner",NA,NA,NA,NA,NA,NA,NA
"51","Delaware (46th Circuit)","Delaware","IN_2006-05-02_PRI","DA_Delaware_46_1",NA,"Mark R. McKinney","Mark","McKinney",NA,NA,NA,NA,NA,NA,NA
"52","Delaware (46th Circuit)","Delaware","IN_2006-05-02_PRI","DA_Delaware_46_1",NA,"Mark A. Delgado","Mark","Delgado",NA,NA,NA,NA,NA,NA,NA
"53","Dubois (57th Circuit)","Dubois","IN_2006-05-02_PRI","DA_Dubois_57_1",NA,"Michael A. Fritch","Michael","Fritch",NA,NA,NA,NA,NA,NA,NA
"54","Elkhart (34th Circuit)","Elkhart","IN_2006-05-02_PRI","DA_Elkhart_34_1",NA,"Curtis T. Hill, Jr.","Curtis","Hill",NA,NA,NA,NA,NA,NA,NA
