"","election_id","office_id","candidate_id","candidate","party","votes","vote_share"
"1","IN_2016-11-08_GEN","AG_Adams_1_1",NA,"Lorenzo Arredondo","DEM",2650,"0.21"
"2","IN_2016-11-08_GEN","AG_Adams_1_1",NA,"Curtis T. Hill, Jr.","REP",10054,"0.79"
"3","IN_2016-11-08_GEN","AG_Allen_1_1",NA,"Lorenzo Arredondo","DEM",49160,"0.34"
"4","IN_2016-11-08_GEN","AG_Allen_1_1",NA,"Curtis T. Hill, Jr.","REP",94243,"0.66"
"5","IN_2016-11-08_GEN","TC1_Allen_1_1",NA,"Nancy Eshcoff Boyer","Non-Partisan",99019,"1.00"
"6","IN_2016-11-08_GEN","TC1_Allen_1_9",NA,"David J. Avery","Non-Partisan",98015,"1.00"
"7","IN_2016-11-08_GEN","TC1_Allen_1_4",NA,"Wendy Davis","Non-Partisan",103113,"1.00"
"8","IN_2016-11-08_GEN","TC1_Allen_1_8",NA,"Charles F. Pratt","Non-Partisan",100809,"1.00"
"9","IN_2016-11-08_GEN","AG_Bartholomew_1_1",NA,"Lorenzo Arredondo","DEM",8789,"0.28"
"10","IN_2016-11-08_GEN","AG_Bartholomew_1_1",NA,"Curtis T. Hill, Jr.","REP",22193,"0.72"
"11","IN_2016-11-08_GEN","TC2_Bartholomew_9_1",NA,"Kelly S. Benjamin","REP",25730,"1.00"
"12","IN_2016-11-08_GEN","AG_Benton_1_1",NA,"Lorenzo Arredondo","DEM",834,"0.23"
"13","IN_2016-11-08_GEN","AG_Benton_1_1",NA,"Curtis T. Hill, Jr.","REP",2728,"0.77"
"14","IN_2016-11-08_GEN","AG_Blackford_1_1",NA,"Lorenzo Arredondo","DEM",1275,"0.28"
"15","IN_2016-11-08_GEN","AG_Blackford_1_1",NA,"Curtis T. Hill, Jr.","REP",3332,"0.72"
"16","IN_2016-11-08_GEN","TC1_Blackford_1_1",NA,"Nick Barry","REP",3868,"1.00"
"17","IN_2016-11-08_GEN","AG_Boone_1_1",NA,"Lorenzo Arredondo","DEM",8314,"0.27"
"18","IN_2016-11-08_GEN","AG_Boone_1_1",NA,"Curtis T. Hill, Jr.","REP",22656,"0.73"
"19","IN_2016-11-08_GEN","AG_Brown_1_1",NA,"Lorenzo Arredondo","DEM",2521,"0.32"
"20","IN_2016-11-08_GEN","AG_Brown_1_1",NA,"Curtis T. Hill, Jr.","REP",5264,"0.68"
