"","election_id","office_id","candidate_id","candidate","party","votes","vote_share"
"1","IN_2008-05-06_PRI","TC1_Adams_1_1",NA,"Thomas Wade Sheets","DEM",3893,"0.63"
"2","IN_2008-05-06_PRI","TC1_Adams_1_1",NA,"Patrick R. Miller","REP",2268,"0.37"
"3","IN_2008-05-06_PRI","TC2_Allen_38_1",NA,"Thomas J. Felts","REP",16076,"1.00"
"4","IN_2008-05-06_PRI","TC1_Bartholomew_1_2",NA,"James A. Shoaf","REP",2430,"0.39"
"5","IN_2008-05-06_PRI","TC1_Bartholomew_1_2",NA,"Roderick D. McGillivray","REP",3772,"0.61"
"6","IN_2008-05-06_PRI","TC2_Benton_76_1",NA,"Rex W. Kepner","REP",1326,"1.00"
"7","IN_2008-05-06_PRI","TC1_Boone_1_1",NA,"Matt Kincaid","REP",5211,"1.00"
"8","IN_2008-05-06_PRI","TC1_Boone_1_2",NA,"Rebecca S. McClure","REP",5051,"1.00"
"9","IN_2008-05-06_PRI","TC1_Carroll_1_1",NA,"Jeffrey R. Smith","REP",1525,"1.00"
"10","IN_2008-05-06_PRI","TC1_Clark_1_2",NA,"Andrew (Drew) Adams","DEM",5238,"0.20"
"11","IN_2008-05-06_PRI","TC1_Clark_1_2",NA,"Daniel E. Moore","DEM",5025,"0.20"
"12","IN_2008-05-06_PRI","TC1_Clark_1_2",NA,"Jerome F. (Jerry) Jacobi","DEM",9727,"0.38"
"13","IN_2008-05-06_PRI","TC1_Clark_1_2",NA,"Shelley J. Marble","DEM",5595,"0.22"
"14","IN_2008-05-06_PRI","TC1_Clark_1_3",NA,"Joseph Joe P.  Weber","DEM",19880,"1.00"
"15","IN_2008-05-06_PRI","TC1_Clinton_1_1",NA,"Louis D. Evans","DEM",3212,"0.43"
"16","IN_2008-05-06_PRI","TC1_Clinton_1_1",NA,"Bradley K. Mohler","REP",1086,"0.15"
"17","IN_2008-05-06_PRI","TC1_Clinton_1_1",NA,"Justin Hunter","REP",1596,"0.22"
"18","IN_2008-05-06_PRI","TC1_Clinton_1_1",NA,"Michael E. Douglas","REP",897,"0.12"
"19","IN_2008-05-06_PRI","TC1_Clinton_1_1",NA,"Robert M. Shaffer","REP",606,"0.08"
"20","IN_2008-05-06_PRI","TC2_Daviess_49_1",NA,"Jeffrey R. (Jeff) Norris","DEM",3169,"0.54"
"21","IN_2008-05-06_PRI","TC2_Daviess_49_1",NA,"Gregory A. Smith","REP",2684,"0.46"
"22","IN_2008-05-06_PRI","TC1_Daviess_1_1",NA,"Dean A. Sobecki","REP",2691,"1.00"
"23","IN_2008-05-06_PRI","TC1_Dearborn_1_1",NA,"Barbara A. Wyly","DEM",3369,"0.31"
"24","IN_2008-05-06_PRI","TC1_Dearborn_1_1",NA,"Thomas R. Blondell","DEM",2561,"0.23"
"25","IN_2008-05-06_PRI","TC1_Dearborn_1_1",NA,"G. Michael Witte","REP",1624,"0.15"
"26","IN_2008-05-06_PRI","TC1_Dearborn_1_1",NA,"Jonathan N. Cleary","REP",3408,"0.31"
"27","IN_2008-05-06_PRI","TC1_Decatur_1_1",NA,"Lora Reed Williams","REP",1277,"0.41"
"28","IN_2008-05-06_PRI","TC1_Decatur_1_1",NA,"Matthew D. Bailey","REP",1805,"0.59"
"29","IN_2008-05-06_PRI","TC1_DeKalb_1_1",NA,"Kevin P. Wallace","DEM",4896,"1.00"
"30","IN_2008-05-06_PRI","TC2_Delaware_46_3",NA,"Joe E. Orick","DEM",10772,"0.34"
"31","IN_2008-05-06_PRI","TC2_Delaware_46_3",NA,"Linda Ralu Wolf","DEM",14362,"0.46"
"32","IN_2008-05-06_PRI","TC2_Delaware_46_3",NA,"Judi L. Calhoun","REP",2685,"0.09"
"33","IN_2008-05-06_PRI","TC2_Delaware_46_3",NA,"Mark A. Delgado","REP",3646,"0.12"
"34","IN_2008-05-06_PRI","TC2_Delaware_46_4",NA,"Diane M. Frye","DEM",18538,"0.76"
"35","IN_2008-05-06_PRI","TC2_Delaware_46_4",NA,"John M. Feick","REP",5963,"0.24"
"36","IN_2008-05-06_PRI","TC2_Delaware_46_5",NA,"Kimberly S. Dowling","DEM",8568,"0.28"
"37","IN_2008-05-06_PRI","TC2_Delaware_46_5",NA,"Ronald L. Henderson","DEM",6106,"0.20"
"38","IN_2008-05-06_PRI","TC2_Delaware_46_5",NA,"Thomas A. Cannon, Jr.","DEM",10209,"0.34"
"39","IN_2008-05-06_PRI","TC2_Delaware_46_5",NA,"Chris M. Teagle","REP",5348,"0.18"
"40","IN_2008-05-06_PRI","TC2_Dubois_57_1",NA,"William E. Weikert","DEM",8429,"1.00"
"41","IN_2008-05-06_PRI","TC1_Elkhart_1_1",NA,"Evan S. Roberts","REP",13626,"1.00"
"42","IN_2008-05-06_PRI","TC1_Elkhart_1_3",NA,"George W. Biddlecome","REP",13884,"1.00"
"43","IN_2008-05-06_PRI","TC1_Elkhart_1_4",NA,"Olga H. Stickel","REP",13562,"1.00"
"44","IN_2008-05-06_PRI","TC1_Elkhart_1_5",NA,"Bruce A. Wells","REP",3767,"0.24"
"45","IN_2008-05-06_PRI","TC1_Elkhart_1_5",NA,"Charles C. Wicks","REP",4171,"0.26"
"46","IN_2008-05-06_PRI","TC1_Elkhart_1_5",NA,"Martin A. McCloskey","REP",2304,"0.14"
"47","IN_2008-05-06_PRI","TC1_Elkhart_1_5",NA,"Peter (Pete) D. Todd","REP",2550,"0.16"
"48","IN_2008-05-06_PRI","TC1_Elkhart_1_5",NA,"Thomas A. Murto","REP",3111,"0.20"
