"","District_orig","County","election_id","office_id","candidate_id","candidate_name","first_name","last_name","prefix","suffix","gender","race","ethinicity","age","incumbent"
"102","Clark","Clark","IN_2018-05-08_PRI","SF_Clark_1_1",NA,"JAMEY J NOEL","JAMEY","NOEL",NA,NA,NA,NA,NA,NA,NA
"103","Elkhart","Elkhart","IN_2018-05-08_PRI","SF_Elkhart_1_1",NA,"JEFF A SIEGEL","JEFF","SIEGEL",NA,NA,NA,NA,NA,NA,NA
"104","Crawford","Crawford","IN_2018-05-08_PRI","SF_Crawford_1_1",NA,"Jeff Howell","Jeff","Howell",NA,NA,NA,NA,NA,NA,NA
"105","Blackford","Blackford","IN_2018-05-08_PRI","SF_Blackford_1_1",NA,"Jeffrey C Sones","Jeffrey","Sones",NA,NA,NA,NA,NA,NA,NA
"106","Crawford","Crawford","IN_2018-05-08_PRI","SF_Crawford_1_1",NA,"Jerome M (Jerry) Byerly","Jerome","Byerly",NA,NA,NA,NA,NA,NA,NA
"107","Clinton","Clinton","IN_2018-05-08_PRI","SF_Clinton_1_1",NA,"Jerrad D Blacker","Jerrad","Blacker",NA,NA,NA,NA,NA,NA,NA
"108","Crawford","Crawford","IN_2018-05-08_PRI","SF_Crawford_1_1",NA,"JERRY B JOHNSON","JERRY","JOHNSON",NA,NA,NA,NA,NA,NA,NA
"109","Decatur","Decatur","IN_2018-05-08_PRI","SF_Decatur_1_1",NA,"JIM PONSLER","JIM","PONSLER",NA,NA,NA,NA,NA,NA,NA
"110","Blackford","Blackford","IN_2018-05-08_PRI","SF_Blackford_1_1",NA,"John A. Lancaster ","John","Lancaster",NA,NA,NA,NA,NA,NA,NA
"111","Elkhart","Elkhart","IN_2018-05-08_PRI","SF_Elkhart_1_1",NA,"JOHN PERRY","JOHN","PERRY",NA,NA,NA,NA,NA,NA,NA
"112","Clinton","Clinton","IN_2018-05-08_PRI","SF_Clinton_1_1",NA,"Mark A Mitchell","Mark","Mitchell",NA,NA,NA,NA,NA,NA,NA
"113","Crawford","Crawford","IN_2018-05-08_PRI","SF_Crawford_1_1",NA,"MARTHA S WRIGHT","MARTHA","WRIGHT",NA,NA,NA,NA,NA,NA,NA
"114","Bartholomew","Bartholomew","IN_2018-05-08_PRI","SF_Bartholomew_1_1",NA,"Matthew A. Myers","Matthew","Myers",NA,NA,NA,NA,NA,NA,NA
"115","Clinton","Clinton","IN_2018-05-08_PRI","SF_Clinton_1_1",NA,"Matthew K Myers","Matthew","Myers",NA,NA,NA,NA,NA,NA,NA
"116","Clay","Clay","IN_2018-05-08_PRI","SF_Clay_1_1",NA,"Michael (Mike) Heaton","Michael","Heaton",NA,NA,NA,NA,NA,NA,NA
"117","Boone","Boone","IN_2018-05-08_PRI","SF_Boone_1_1",NA,"MICHAEL C MIKE GREENE","MICHAEL","GREENE",NA,NA,NA,NA,NA,NA,NA
"118","Boone","Boone","IN_2018-05-08_PRI","SF_Boone_1_1",NA,"MICHAEL T (MIKE) NIELSEN","MICHAEL","NIELSEN",NA,NA,NA,NA,NA,NA,NA
"119","Clay","Clay","IN_2018-05-08_PRI","SF_Clay_1_1",NA,"Paul B Harden","Paul","Harden",NA,NA,NA,NA,NA,NA,NA
"120","Clinton","Clinton","IN_2018-05-08_PRI","SF_Clinton_1_1",NA,"Richard Rich Kelly","Richard","Kelly",NA,NA,NA,NA,NA,NA,NA
"121","Decatur","Decatur","IN_2018-05-08_PRI","SF_Decatur_1_1",NA,"RICHARD (RICK) UNDERHILL","RICHARD","UNDERHILL",NA,NA,NA,NA,NA,NA,NA
"122","Bartholomew","Bartholomew","IN_2018-05-08_PRI","SF_Bartholomew_1_1",NA,"Robert (Rob) V. Kittle Jr.","Robert","Kittle",NA,NA,NA,NA,NA,NA,NA
"123","Brown","Brown","IN_2018-05-08_PRI","SF_Brown_1_1",NA,"Scott Southerland","Scott","Southerland",NA,NA,NA,NA,NA,NA,NA
"124","Dearborn","Dearborn","IN_2018-05-08_PRI","SF_Dearborn_1_1",NA,"Shane McHenry","Shane","McHenry",NA,NA,NA,NA,NA,NA,NA
"125","Decatur","Decatur","IN_2018-05-08_PRI","SF_Decatur_1_1",NA,"STEVE SNYDER","STEVE","SNYDER",NA,NA,NA,NA,NA,NA,NA
"126","Bartholomew","Bartholomew","IN_2018-05-08_PRI","SF_Bartholomew_1_1",NA,"Tamara Watson","Tamara","Watson",NA,NA,NA,NA,NA,NA,NA
"127","Dubois","Dubois","IN_2018-05-08_PRI","SF_Dubois_1_1",NA,"THOMAS J KLEINHELTER","THOMAS","KLEINHELTER",NA,NA,NA,NA,NA,NA,NA
"128","Crawford","Crawford","IN_2018-05-08_PRI","SF_Crawford_1_1",NA,"TIM WILKERSON","TIM","WILKERSON",NA,NA,NA,NA,NA,NA,NA
"129","Carroll","Carroll","IN_2018-05-08_PRI","SF_Carroll_1_1",NA,"Tobe Leazenby","Tobe","Leazenby",NA,NA,NA,NA,NA,NA,NA
"130","Blackford","Blackford","IN_2018-05-08_PRI","SF_Blackford_1_1",NA,"Tony Scaggs","Tony","Scaggs",NA,NA,NA,NA,NA,NA,NA
"131","Delaware","Delaware","IN_2018-05-08_PRI","SF_Delaware_1_1",NA,"TONY SKINNER","TONY","SKINNER",NA,NA,NA,NA,NA,NA,NA
"132","Daviess","Daviess","IN_2018-05-08_PRI","SF_Daviess_1_1",NA,"Troy Anthony Fuhs","Troy","Fuhs",NA,NA,NA,NA,NA,NA,NA
"133","Adams","Adams","IN_2018-05-08_PRI","SF_Adams_1_1",NA,"TY  HANNI","TY","HANNI",NA,NA,NA,NA,NA,NA,NA
"134","Decatur","Decatur","IN_2018-05-08_PRI","SF_Decatur_1_1",NA,"WILLIAM B MEYERROSE","WILLIAM","MEYERROSE",NA,NA,NA,NA,NA,NA,NA
