"","election_id","office_id","candidate_id","candidate","party","votes","vote_share"
"1","IN_2004-05-04_PRI","TC2_Bartholomew_9_1",NA,"Stephen R. Heimann","DEM",3401,"0.37"
"2","IN_2004-05-04_PRI","TC2_Bartholomew_9_1",NA,"David A. Nowak","REP",5899,"0.63"
"3","IN_2004-05-04_PRI","TC1_Blackford_1_1",NA,"John W. Forcum","DEM",915,"1.00"
"4","IN_2004-05-04_PRI","TC1_Cass_1_1",NA,"Thomas C. Perrone","DEM",1661,"1.00"
"5","IN_2004-05-04_PRI","TC2_Clark_4_1",NA,"Daniel F. Donahue","DEM",8896,"1.00"
"6","IN_2004-05-04_PRI","TC2_Clay_13_1",NA,"Ernest E. Yelton","REP",2988,"1.00"
"7","IN_2004-05-04_PRI","TC2_Crawford_77_1",NA,"Kenneth Lynn Lopp","DEM",1263,"1.00"
"8","IN_2004-05-04_PRI","TC2_Dearborn_7_1",NA,"James D. Humphrey","REP",2446,"1.00"
"9","IN_2004-05-04_PRI","TC2_DeKalb_75_1",NA,"Kirk D. Carpenter","DEM",962,"1.00"
"10","IN_2004-05-04_PRI","TC2_Delaware_46_1",NA,"Marianne Lafferty Vorhees","DEM",9390,"0.53"
"11","IN_2004-05-04_PRI","TC2_Delaware_46_1",NA,"Jeffrey L. Arnold","REP",8184,"0.47"
"12","IN_2004-05-04_PRI","TC1_Dubois_1_1",NA,"Howard B. Lytton, Jr.","DEM",2216,"0.33"
"13","IN_2004-05-04_PRI","TC1_Dubois_1_1",NA,"Nathan A. Verkamp","DEM",3083,"0.46"
"14","IN_2004-05-04_PRI","TC1_Dubois_1_1",NA,"Elaine Marie Becher Brown","REP",1404,"0.21"
"15","IN_2004-05-04_PRI","TC2_Elkhart_34_1",NA,"Terry C. Shewmaker","REP",13946,"1.00"
