"election_id","office_id","candidate_id","candidate","party","votes","vote_share","winner"
"FL_2010-08-24_PRI","TC2_1_3",NA,"Alishia McDonald","NON",19090,0.174,1
"FL_2010-08-24_PRI","TC2_1_3",NA,"Clint Davis","NON",13841,0.126,0
"FL_2010-08-24_PRI","TC2_1_3",NA,"Kenneth Brooks, Jr.","NON",12158,0.111,0
"FL_2010-08-24_PRI","TC2_1_3",NA,"Michael Flowers","NON",36769,0.336,1
"FL_2010-08-24_PRI","TC2_1_3",NA,"Mike Lawson","NON",16002,0.146,0
"FL_2010-08-24_PRI","TC2_1_3",NA,"Robert McGill, III","NON",11558,0.106,0
"FL_2010-08-24_PRI","TC2_11_45",NA,"Peter Adrien","NON",53980,0.297,0
"FL_2010-08-24_PRI","TC2_11_45",NA,"Samantha Cohen","NON",127797,0.703,1
"FL_2010-08-24_PRI","TC2_11_62",NA,"Monica Gordo","NON",111726,0.644,1
"FL_2010-08-24_PRI","TC2_11_62",NA,"Robert Kuntz","NON",61805,0.356,0
"FL_2010-08-24_PRI","TC2_13_4",NA,"Liz Rice","NON",77290,0.686,1
"FL_2010-08-24_PRI","TC2_13_4",NA,"Zilia Vasquez","NON",35405,0.314,0
"FL_2010-08-24_PRI","TC2_14_2",NA,"Mike Reiter","NON",24631,0.461,0
"FL_2010-08-24_PRI","TC2_14_2",NA,"Pete Mallory","NON",28837,0.539,1
"FL_2010-08-24_PRI","TC2_15_33",NA,"Andrew Daire","NON",6510,0.055,0
"FL_2010-08-24_PRI","TC2_15_33",NA,"Jaimie Goodman","NON",25645,0.218,0
"FL_2010-08-24_PRI","TC2_15_33",NA,"Kenneth Lemoine","NON",20594,0.175,0
"FL_2010-08-24_PRI","TC2_15_33",NA,"Lisa Small","NON",64623,0.551,1
"FL_2010-08-24_PRI","TC2_17_15",NA,"Matthew Destry","NON",77769,0.645,1
"FL_2010-08-24_PRI","TC2_17_15",NA,"Robert Jakovich","NON",42838,0.355,0
"FL_2010-08-24_PRI","TC2_17_2",NA,"Kenneth Gillespie","NON",88989,0.708,1
"FL_2010-08-24_PRI","TC2_17_2",NA,"Oliver Parker","NON",36757,0.292,0
"FL_2010-08-24_PRI","TC2_17_22",NA,"Carlos Rebollo","NON",62215,0.506,1
"FL_2010-08-24_PRI","TC2_17_22",NA,"Robert Nichols","NON",60654,0.494,0
"FL_2010-08-24_PRI","TC2_17_23",NA,"Alan Bernstein","NON",43246,0.344,0
"FL_2010-08-24_PRI","TC2_17_23",NA,"Barbara McCarthy","NON",82451,0.656,1
"FL_2010-08-24_PRI","TC2_17_24",NA,"John Luzzo","NON",69489,0.562,1
"FL_2010-08-24_PRI","TC2_17_24",NA,"Olga Levine","NON",54110,0.438,0
"FL_2010-08-24_PRI","TC2_17_4",NA,"Alan Schneider","NON",56720,0.449,0
"FL_2010-08-24_PRI","TC2_17_4",NA,"Elijah Williams","NON",69566,0.551,1
"FL_2010-08-24_PRI","TC2_17_47",NA,"Laura Seidman","NON",36799,0.298,0
"FL_2010-08-24_PRI","TC2_17_47",NA,"Lisa Porter","NON",86879,0.702,1
"FL_2010-08-24_PRI","TC2_17_51",NA,"Lee Seidman","NON",38694,0.319,0
"FL_2010-08-24_PRI","TC2_17_51",NA,"Sandra Perlman","NON",82547,0.681,1
"FL_2010-08-24_PRI","TC2_17_53",NA,"Eileen O'Connor","NON",88019,0.714,1
"FL_2010-08-24_PRI","TC2_17_53",NA,"Rhoda Sokoloff","NON",35285,0.286,0
"FL_2010-08-24_PRI","TC2_17_6",NA,"Carlos Rodriguez","NON",73448,0.579,1
"FL_2010-08-24_PRI","TC2_17_6",NA,"Frieda Goldstein","NON",53304,0.421,0
"FL_2010-08-24_PRI","TC2_17_9",NA,"Jill Rafilovich","NON",39097,0.312,0
"FL_2010-08-24_PRI","TC2_17_9",NA,"Susan Lebow","NON",86199,0.688,1
"FL_2010-08-24_PRI","TC2_18_16",NA,"Jeff Dowdy","NON",65456,0.484,0
"FL_2010-08-24_PRI","TC2_18_16",NA,"Michael Rudisill","NON",69754,0.516,1
"FL_2010-08-24_PRI","TC2_18_24",NA,"Clayton Simmons","NON",66200,0.482,0
"FL_2010-08-24_PRI","TC2_18_24",NA,"Linda Schoonover","NON",71103,0.518,1
"FL_2010-08-24_PRI","TC2_18_3",NA,"Carsandra Buie","NON",23384,0.172,0
"FL_2010-08-24_PRI","TC2_18_3",NA,"Jessica Recksiedler","NON",65497,0.481,1
"FL_2010-08-24_PRI","TC2_18_3",NA,"Oscar Hotusing","NON",47322,0.347,1
"FL_2010-08-24_PRI","TC2_2_9",NA,"Barbara Hobbs","NON",21474,0.269,1
"FL_2010-08-24_PRI","TC2_2_9",NA,"Bruce Leinback","NON",10926,0.137,0
"FL_2010-08-24_PRI","TC2_2_9",NA,"Eddie Evans","NON",7663,0.096,0
"FL_2010-08-24_PRI","TC2_2_9",NA,"J. Smith","NON",16538,0.207,0
"FL_2010-08-24_PRI","TC2_2_9",NA,"Karen Gievers","NON",23132,0.29,1
"FL_2010-08-24_PRI","TC2_4_25",NA,"Mark Hulsey","NON",77519,0.54,1
"FL_2010-08-24_PRI","TC2_4_25",NA,"Samuel Garrison","NON",65970,0.46,0
"FL_2010-08-24_PRI","TC2_5_1",NA,"Denise Dymond Lyn","NON",65813,0.421,0
"FL_2010-08-24_PRI","TC2_5_1",NA,"Robert Hodges","NON",90400,0.579,1
"FL_2010-08-24_PRI","TC2_6_18",NA,"Edward Liebling","NON",42751,0.246,0
"FL_2010-08-24_PRI","TC2_6_18",NA,"Kathryn Welsh","NON",62153,0.358,1
"FL_2010-08-24_PRI","TC2_6_18",NA,"Patricia Muscarella","NON",68637,0.396,1
"FL_2010-08-24_PRI","TC2_6_20",NA,"Patrice Moore","NON",86774,0.51,1
"FL_2010-08-24_PRI","TC2_6_20",NA,"Tom Ramsberger","NON",83252,0.49,0
"FL_2010-08-24_PRI","TC2_6_27",NA,"Jeff O'Brien","NON",45216,0.268,1
"FL_2010-08-24_PRI","TC2_6_27",NA,"Keith Meyer","NON",52327,0.311,1
"FL_2010-08-24_PRI","TC2_6_27",NA,"Kelly McKnight","NON",42219,0.251,0
"FL_2010-08-24_PRI","TC2_6_27",NA,"LeAnne Lake","NON",28666,0.17,0
"FL_2010-08-24_PRI","TC2_6_29",NA,"Deborah Moss","NON",78958,0.462,0
"FL_2010-08-24_PRI","TC2_6_29",NA,"Michael Andrews","NON",91825,0.538,1
"FL_2010-08-24_PRI","TC2_6_30",NA,"Kimberly Todd","NON",90321,0.541,1
"FL_2010-08-24_PRI","TC2_6_30",NA,"Susan St. John","NON",76783,0.459,0
"FL_2010-08-24_PRI","TC2_7_10",NA,"Don Holmes","NON",47256,0.447,1
"FL_2010-08-24_PRI","TC2_7_10",NA,"Eric Neitzke","NON",24762,0.234,0
"FL_2010-08-24_PRI","TC2_7_10",NA,"Scott DuPont","NON",33700,0.319,1
"FL_2010-08-24_PRI","TC2_7_3",NA,"George Pappas","NON",53251,0.478,0
"FL_2010-08-24_PRI","TC2_7_3",NA,"Matt Foxman","NON",58040,0.522,1
"FL_2010-08-24_PRI","TC2_7_5",NA,"Dennis Craig","NON",27625,0.259,1
"FL_2010-08-24_PRI","TC2_7_5",NA,"Ed Haenftling, Jr.","NON",5685,0.053,0
"FL_2010-08-24_PRI","TC2_7_5",NA,"Joe Horrox","NON",26507,0.248,1
"FL_2010-08-24_PRI","TC2_7_5",NA,"John Selden","NON",15691,0.147,0
"FL_2010-08-24_PRI","TC2_7_5",NA,"Marc Dwyer","NON",20285,0.19,0
"FL_2010-08-24_PRI","TC2_7_5",NA,"Sid Nowell","NON",10906,0.102,0
"FL_2010-08-24_PRI","TC2_9_6",NA,"Rand Wallis","NON",106247,0.826,1
"FL_2010-08-24_PRI","TC2_9_6",NA,"Shayan Elahi","NON",22318,0.174,0
"FL_2010-08-24_PRI-D","AG_FL_000",NA,"Dan Gelber","DEM",491834,0.591,1
"FL_2010-08-24_PRI-D","AG_FL_000",NA,"Dave Aronberg","DEM",339856,0.409,0
"FL_2010-08-24_PRI-R","AG_FL_000",NA,"Holly Benson","REP",354573,0.293,0
"FL_2010-08-24_PRI-R","AG_FL_000",NA,"Jeff Kottkamp","REP",397781,0.328,1
"FL_2010-08-24_PRI-R","AG_FL_000",NA,"Pam Bondi","REP",459022,0.379,1
