"election_id","office_id","candidate_id","candidate","party","votes","vote_share","winner"
"FL_2018-08-28_PRI","TC2_10_10",NA,"Keith Merritt","NON",36917,0.317,1
"FL_2018-08-28_PRI","TC2_10_10",NA,"Lee Cohen","NON",27865,0.239,0
"FL_2018-08-28_PRI","TC2_10_10",NA,"Melissa Gravitt","NON",51631,0.444,1
"FL_2018-08-28_PRI","TC2_10_11",NA,"Dana Moore","NON",69602,0.608,1
"FL_2018-08-28_PRI","TC2_10_11",NA,"Stephen Pincket","NON",44782,0.392,0
"FL_2018-08-28_PRI","TC2_11_14",NA,"Louis Martinez","NON",45562,0.177,0
"FL_2018-08-28_PRI","TC2_11_14",NA,"Renee Gordon","NON",122561,0.476,1
"FL_2018-08-28_PRI","TC2_11_14",NA,"Vivianne del Rio","NON",89587,0.348,1
"FL_2018-08-28_PRI","TC2_11_25",NA,"Joe Perkins","NON",118501,0.471,0
"FL_2018-08-28_PRI","TC2_11_25",NA,"Yery Marrero","NON",133322,0.529,1
"FL_2018-08-28_PRI","TC2_11_8",NA,"David Miller","NON",136621,0.525,1
"FL_2018-08-28_PRI","TC2_11_8",NA,"Elisabeth Espinosa","NON",123446,0.475,0
"FL_2018-08-28_PRI","TC2_12_12",NA,"Brian Iten","NON",70503,0.43,0
"FL_2018-08-28_PRI","TC2_12_12",NA,"Maria Ruhl","NON",93424,0.57,1
"FL_2018-08-28_PRI","TC2_13_25",NA,"Cissy Boza Sevelin","NON",39566,0.205,0
"FL_2018-08-28_PRI","TC2_13_25",NA,"Jamey Moody","NON",62118,0.322,1
"FL_2018-08-28_PRI","TC2_13_25",NA,"Robin Fuson","NON",63441,0.329,1
"FL_2018-08-28_PRI","TC2_13_25",NA,"Starr Brookins","NON",27974,0.145,0
"FL_2018-08-28_PRI","TC2_15_13",NA,"Alcolya St. Juste","NON",74542,0.38,1
"FL_2018-08-28_PRI","TC2_15_13",NA,"Jordan Jordan","NON",40702,0.208,0
"FL_2018-08-28_PRI","TC2_15_13",NA,"Scott Kerner","NON",80901,0.412,1
"FL_2018-08-28_PRI","TC2_15_18",NA,"Joseph Maryuma","NON",53612,0.271,0
"FL_2018-08-28_PRI","TC2_15_18",NA,"Marybel Coleman","NON",62992,0.318,1
"FL_2018-08-28_PRI","TC2_15_18",NA,"Maxine Cheesman","NON",81218,0.411,1
