"election_id","office_id","candidate_id","candidate","party","votes","vote_share","winner"
"FL_2006-09-05_PRI","TC2_1_15",NA,"Dixie Powell","NON",31682,0.283,1
"FL_2006-09-05_PRI","TC2_1_15",NA,"Michael Webster","NON",23138,0.206,0
"FL_2006-09-05_PRI","TC2_1_15",NA,"Mike Schofield","NON",22075,0.197,0
"FL_2006-09-05_PRI","TC2_1_15",NA,"Terry Ketchel","NON",35227,0.314,1
"FL_2006-09-05_PRI","TC2_1_23",NA,"Gary Bergosh","NON",58406,0.535,1
"FL_2006-09-05_PRI","TC2_1_23",NA,"Jeff Lewis","NON",50772,0.465,0
"FL_2006-09-05_PRI","TC2_1_24",NA,"Jim Messer","NON",46442,0.428,0
"FL_2006-09-05_PRI","TC2_1_24",NA,"Ross Goodman","NON",62007,0.572,1
"FL_2006-09-05_PRI","TC2_10_27",NA,"David Carmichael","NON",30839,0.435,1
"FL_2006-09-05_PRI","TC2_10_27",NA,"Ernest Jones","NON",28149,0.397,1
"FL_2006-09-05_PRI","TC2_10_27",NA,"Jon Abdoney","NON",11832,0.167,0
"FL_2006-09-05_PRI","TC2_10_28",NA,"John Stargel","NON",40412,0.548,1
"FL_2006-09-05_PRI","TC2_10_28",NA,"Nathaniel White","NON",33290,0.452,0
"FL_2006-09-05_PRI","TC2_11_25",NA,"Dennis Murphy","NON",79810,0.562,1
"FL_2006-09-05_PRI","TC2_11_25",NA,"Josie Velis","NON",62275,0.438,0
"FL_2006-09-05_PRI","TC2_11_42",NA,"Gina Mendez","NON",70574,0.489,0
"FL_2006-09-05_PRI","TC2_11_42",NA,"Lawrence 'Larry' Schwartz","NON",73823,0.511,1
"FL_2006-09-05_PRI","TC2_11_78",NA,"Jose Sanchez-Gronlier","NON",45444,0.334,1
"FL_2006-09-05_PRI","TC2_11_78",NA,"Rima Bardawil","NON",34950,0.257,0
"FL_2006-09-05_PRI","TC2_11_78",NA,"Valerie Manno Schurr","NON",55824,0.41,1
"FL_2006-09-05_PRI","TC2_11_79",NA,"Antonio Marin","NON",78692,0.569,1
"FL_2006-09-05_PRI","TC2_11_79",NA,"Marie Davidson","NON",59619,0.431,0
"FL_2006-09-05_PRI","TC2_11_80",NA,"Catherine 'Cathy' Parks","NON",56714,0.406,1
"FL_2006-09-05_PRI","TC2_11_80",NA,"Mario Garcia Jr.","NON",40630,0.291,0
"FL_2006-09-05_PRI","TC2_11_80",NA,"Marisa Mendez","NON",42482,0.304,1
"FL_2006-09-05_PRI","TC2_12_13",NA,"Lee Haworth","NON",62757,0.65,1
"FL_2006-09-05_PRI","TC2_12_13",NA,"Susan Swartz","NON",33772,0.35,0
"FL_2006-09-05_PRI","TC2_12_16",NA,"Donna Berlin","NON",72040,0.753,1
"FL_2006-09-05_PRI","TC2_12_16",NA,"Franklin Roberts","NON",23583,0.247,0
"FL_2006-09-05_PRI","TC2_12_21",NA,"Connie Mederos-Jacobs","NON",22084,0.231,0
"FL_2006-09-05_PRI","TC2_12_21",NA,"Geoffrey Proffitt","NON",11955,0.125,0
