"election_id","office_id","candidate_id","candidate","party","votes","vote_share","winner"
"FL_2022-11-08_GEN","AG_FL_000",NA,"Aramis Ayala","DEM",3025943,0.394,0
"FL_2022-11-08_GEN","AG_FL_000",NA,"Ashley Moody","REP",4651279,0.606,1
"FL_2022-11-08_GEN","SA_6_000",NA,"Allison Miller","DEM",261895,0.412,0
"FL_2022-11-08_GEN","SA_6_000",NA,"Bruce Bartlett","REP",374282,0.588,1
"FL_2022-11-08_GEN","TC2_17_23",NA,"Gary Farmer","NON",261294,0.546,1
"FL_2022-11-08_GEN","TC2_17_23",NA,"Tania Williams","NON",217293,0.454,0
"FL_2022-11-08_GEN","TC2_17_51",NA,"Lorena Mastrarrigo","NON",271253,0.552,1
"FL_2022-11-08_GEN","TC2_17_51",NA,"Tamar Hamilton","NON",220054,0.448,0
"FL_2022-11-08_GEN","TC2_8_12",NA,"AuBroncee Martin","NON",42645,0.336,0
"FL_2022-11-08_GEN","TC2_8_12",NA,"Sean Brewer","NON",84441,0.664,1
"FL_2022-11-08_GEN","SC_1_000",NA,"Charles Canady","NON",4358437,0.64,1
"FL_2022-11-08_GEN","SC_2_000",NA,"John Couriel","NON",4305014,0.637,1
"FL_2022-11-08_GEN","SC_3_000",NA,"Jamie Grosshans","NON",4306135,0.638,1
"FL_2022-11-08_GEN","SC_4_000",NA,"Jorge Labarga","NON",4197872,0.623,1
"FL_2022-11-08_GEN","SC_5_000",NA,"Ricky Polston","NON",4240078,0.63,1
"FL_2022-11-08_GEN","TC1_1_1",NA,"Ross Bilbrey","NON",722594,0.649,1
"FL_2022-11-08_GEN","TC1_1_2",NA,"Susan Kelsey","NON",734444,0.661,1
"FL_2022-11-08_GEN","TC1_1_3",NA,"Bobby Long","NON",717180,0.646,1
"FL_2022-11-08_GEN","TC1_1_4",NA,"Lori Rowe","NON",714438,0.644,1
"FL_2022-11-08_GEN","TC1_1_5",NA,"Bo Winokur","NON",694973,0.629,1
"FL_2022-11-08_GEN","TC1_2_1",NA,"Patricia Kelly","NON",1335805,0.674,1
"FL_2022-11-08_GEN","TC1_2_2",NA,"Nelly Khouzam","NON",1339501,0.68,1
"FL_2022-11-08_GEN","TC1_2_3",NA,"Suzanne Labrit","NON",1337664,0.679,1
"FL_2022-11-08_GEN","TC1_2_4",NA,"Matt Lucas","NON",1327235,0.675,1
"FL_2022-11-08_GEN","TC1_2_5",NA,"Robert Morris","NON",1267672,0.646,1
"FL_2022-11-08_GEN","TC1_2_6",NA,"Stevan Northcutt","NON",1211396,0.618,1
"FL_2022-11-08_GEN","TC1_2_7",NA,"John Stargel","NON",1300035,0.663,1
"FL_2022-11-08_GEN","TC1_2_8",NA,"Craig Villanti","NON",1254107,0.645,1
"FL_2022-11-08_GEN","TC1_3_1",NA,"Alexander Bokor","NON",420454,0.649,1
"FL_2022-11-08_GEN","TC1_3_2",NA,"Edwin Scales","NON",426005,0.664,1
"FL_2022-11-08_GEN","TC1_4_1",NA,"Ed Artau","NON",750815,0.615,1
"FL_2022-11-08_GEN","TC1_4_2",NA,"Cory Ciklin","NON",775702,0.638,1
"FL_2022-11-08_GEN","TC1_4_3",NA,"Dorian Damoorgian","NON",794293,0.657,1
"FL_2022-11-08_GEN","TC1_4_4",NA,"Jonathan Gerber","NON",844619,0.697,1
"FL_2022-11-08_GEN","TC1_4_5",NA,"Robert Gross","NON",742462,0.614,1
"FL_2022-11-08_GEN","TC1_4_6",NA,"Spencer Levine","NON",834494,0.693,1
"FL_2022-11-08_GEN","TC1_4_7",NA,"Melanie May","NON",847728,0.705,1
"FL_2022-11-08_GEN","TC1_5_1",NA,"Jay Cohen","NON",1100786,0.647,1
"FL_2022-11-08_GEN","TC1_5_2",NA,"James Edwards","NON",1172967,0.693,1
"FL_2022-11-08_GEN","TC1_5_3",NA,"Brian Lambert","NON",1174128,0.693,1
"FL_2022-11-08_GEN","TC1_5_4",NA,"Mary Nardella","NON",1128706,0.666,1
"FL_2022-11-08_GEN","TC1_5_5",NA,"Dan Traver","NON",1136120,0.673,1
"FL_2022-11-08_GEN","TC1_5_6",NA,"Carrie Wozniak","NON",1147273,0.679,1
