"election_id","office_id","candidate_id","candidate","party","votes","vote_share","winner"
"FL_2008-08-26_PRI","TC2_10_19",NA,"John Radabaugh","NON",32297,0.543,1
"FL_2008-08-26_PRI","TC2_10_19",NA,"Nathaniel White","NON",27161,0.457,0
"FL_2008-08-26_PRI","TC2_11_11",NA,"Jorge Cueto","NON",80509,0.535,1
"FL_2008-08-26_PRI","TC2_11_11",NA,"Josie Velis","NON",69844,0.465,0
"FL_2008-08-26_PRI","TC2_11_18",NA,"Manny Segarra","NON",60172,0.405,0
"FL_2008-08-26_PRI","TC2_11_18",NA,"Migna Sanchez-Llorens","NON",88385,0.595,1
"FL_2008-08-26_PRI","TC2_11_19",NA,"Patricia Kopco","NON",41846,0.271,0
"FL_2008-08-26_PRI","TC2_11_19",NA,"Stephen Millan","NON",62591,0.406,1
"FL_2008-08-26_PRI","TC2_11_19",NA,"Yvonne Colodny","NON",49859,0.323,1
"FL_2008-08-26_PRI","TC2_11_38",NA,"Mario Garcia","NON",75628,0.481,0
"FL_2008-08-26_PRI","TC2_11_38",NA,"Stacy Glick","NON",81546,0.519,1
"FL_2008-08-26_PRI","TC2_11_50",NA,"Abby Cynamon","NON",81626,0.531,1
"FL_2008-08-26_PRI","TC2_11_50",NA,"Ricardo Corona","NON",72240,0.469,0
"FL_2008-08-26_PRI","TC2_11_51",NA,"Douglas Chumbley","NON",66191,0.432,0
"FL_2008-08-26_PRI","TC2_11_51",NA,"Marcia Caballero","NON",86998,0.568,1
"FL_2008-08-26_PRI","TC2_11_55",NA,"Abbie Cuellar","NON",68816,0.432,0
"FL_2008-08-26_PRI","TC2_11_55",NA,"Jeri Cohen","NON",90323,0.568,1
"FL_2008-08-26_PRI","TC2_11_57",NA,"Bernard Shapiro","NON",90788,0.588,1
"FL_2008-08-26_PRI","TC2_11_57",NA,"Denise Martinez-Scanziani","NON",63557,0.412,0
"FL_2008-08-26_PRI","TC2_12_1",NA,"Connie Mederos-Jacobs","NON",37245,0.483,0
"FL_2008-08-26_PRI","TC2_12_1",NA,"Gilbert Smith, Jr.","NON",39792,0.517,1
"FL_2008-08-26_PRI","TC2_13_1",NA,"Caroline Tesche","NON",41405,0.68,1
"FL_2008-08-26_PRI","TC2_13_1",NA,"Jason Montes","NON",19513,0.32,0
"FL_2008-08-26_PRI","TC2_13_2",NA,"Miriam Velez","NON",18070,0.295,0
"FL_2008-08-26_PRI","TC2_13_2",NA,"Samantha Ward","NON",43229,0.705,1
"FL_2008-08-26_PRI","TC2_13_21",NA,"Linda Clark","NON",20993,0.343,0
"FL_2008-08-26_PRI","TC2_13_21",NA,"Lisa Campbell","NON",40242,0.657,1
"FL_2008-08-26_PRI","TC2_13_30",NA,"Constance Daniels","NON",19170,0.317,0
"FL_2008-08-26_PRI","TC2_13_30",NA,"Martha Cook","NON",41314,0.683,1
"FL_2008-08-26_PRI","TC2_13_7",NA,"Catherine Catlin","NON",30912,0.502,1
"FL_2008-08-26_PRI","TC2_13_7",NA,"Kevin Carey","NON",30692,0.498,0
"FL_2008-08-26_PRI","TC2_15_14",NA,"Diana Lewis","NON",47405,0.517,1
"FL_2008-08-26_PRI","TC2_15_14",NA,"Lisa Small","NON",44274,0.483,0
"FL_2008-08-26_PRI","TC2_15_23",NA,"Richard Wennet","NON",45470,0.5,0
"FL_2008-08-26_PRI","TC2_15_23",NA,"William Abramson","NON",45531,0.5,1
"FL_2008-08-26_PRI","TC2_16_4",NA,"Jiulio Margalli","NON",463,0.037,0
"FL_2008-08-26_PRI","TC2_16_4",NA,"Manny Madruga","NON",2357,0.189,0
"FL_2008-08-26_PRI","TC2_16_4",NA,"Mary Vanden Brook","NON",3998,0.321,1
"FL_2008-08-26_PRI","TC2_16_4",NA,"Richard Behr","NON",1190,0.096,0
"FL_2008-08-26_PRI","TC2_16_4",NA,"Tegan Slaton","NON",4447,0.357,1
"FL_2008-08-26_PRI","TC2_17_21",NA,"John Howes","NON",25715,0.27,0
"FL_2008-08-26_PRI","TC2_17_21",NA,"Merrilee Ehrlich","NON",37894,0.397,1
"FL_2008-08-26_PRI","TC2_17_21",NA,"Paul Eichner","NON",31755,0.333,1
"FL_2008-08-26_PRI","TC2_17_27",NA,"Ed Sugar","NON",25481,0.273,0
"FL_2008-08-26_PRI","TC2_17_27",NA,"Mark Rickard","NON",28197,0.303,1
"FL_2008-08-26_PRI","TC2_17_27",NA,"Steven Feren","NON",39528,0.424,1
"FL_2008-08-26_PRI","TC2_17_3",NA,"Bernard Bober","NON",36729,0.383,1
"FL_2008-08-26_PRI","TC2_17_3",NA,"Mardi Levey","NON",29599,0.309,1
"FL_2008-08-26_PRI","TC2_17_3",NA,"Pedro Dijols","NON",29527,0.308,0
"FL_2008-08-26_PRI","TC2_17_34",NA,"Kim Mollica","NON",35298,0.37,0
"FL_2008-08-26_PRI","TC2_17_34",NA,"Renee Goldenberg","NON",60140,0.63,1
"FL_2008-08-26_PRI","TC2_18_17",NA,"Meryl Allawas","NON",45557,0.487,0
"FL_2008-08-26_PRI","TC2_18_17",NA,"Robert Burger","NON",47969,0.513,1
"FL_2008-08-26_PRI","TC2_19_4",NA,"Dwight Geiger","NON",36157,0.472,1
"FL_2008-08-26_PRI","TC2_19_4",NA,"Faith Litvack","NON",19369,0.253,0
"FL_2008-08-26_PRI","TC2_19_4",NA,"Fran Ross","NON",21052,0.275,1
"FL_2008-08-26_PRI","TC2_2_16",NA,"Angela Dempsey","NON",41190,0.583,1
"FL_2008-08-26_PRI","TC2_2_16",NA,"William Miller,, Jr.","NON",29473,0.417,0
"FL_2008-08-26_PRI","TC2_2_3",NA,"David Frank","NON",34546,0.492,0
