"election_id","office_id","candidate_id","candidate","party","votes","vote_share","winner"
"FL_1984-09-04_PRI","TC2_1_6",NA,"Nick Geeker","NON",41088,0.534,1
"FL_1984-09-04_PRI","TC2_1_6",NA,"Tom Santuri","NON",35823,0.466,0
"FL_1984-09-04_PRI","TC2_10_1",NA,"James Murray","NON",24740,0.44,0
"FL_1984-09-04_PRI","TC2_10_1",NA,"Julian Durrance","NON",31517,0.56,1
"FL_1984-09-04_PRI","TC2_11_1",NA,"Philip Bloom","NON",109504,0.677,1
"FL_1984-09-04_PRI","TC2_11_1",NA,"William Herin","NON",52207,0.323,0
"FL_1984-09-04_PRI","TC2_11_23",NA,"'Dick' Lantz","NON",52224,0.325,0
"FL_1984-09-04_PRI","TC2_11_23",NA,"Rosemary Jones","NON",108464,0.675,1
"FL_1984-09-04_PRI","TC2_11_24",NA,"Ed Brigham","NON",29511,0.173,0
"FL_1984-09-04_PRI","TC2_11_24",NA,"Joseph Gersten","NON",95165,0.557,1
"FL_1984-09-04_PRI","TC2_11_24",NA,"Leonard Rubin","NON",46072,0.27,0
"FL_1984-09-04_PRI","TC2_11_25",NA,"Eli Breger","NON",56999,0.334,0
"FL_1984-09-04_PRI","TC2_11_25",NA,"Joseph Nazzaro","NON",16469,0.097,0
"FL_1984-09-04_PRI","TC2_11_25",NA,"Margarita Esquiroz","NON",97085,0.569,1
"FL_1984-09-04_PRI","TC2_11_27",NA,"Steven Robinson","NON",105358,0.768,1
"FL_1984-09-04_PRI","TC2_11_27",NA,"Woodrow Wallen","NON",31876,0.232,0
"FL_1984-09-04_PRI","TC2_11_5",NA,"David Peckins","NON",44628,0.287,0
"FL_1984-09-04_PRI","TC2_11_5",NA,"Ronald Friedman","NON",110703,0.713,1
"FL_1984-09-04_PRI","TC2_11_6",NA,"Amy Donner","NON",84613,0.49,1
"FL_1984-09-04_PRI","TC2_11_6",NA,"Eugene Steele","NON",20838,0.121,0
"FL_1984-09-04_PRI","TC2_11_6",NA,"Fran Farina","NON",67293,0.39,1
"FL_1984-09-04_PRI","TC2_11_7",NA,"Fred Dellapa","NON",51246,0.319,1
"FL_1984-09-04_PRI","TC2_11_7",NA,"Mary Mackenzie","NON",65345,0.407,1
"FL_1984-09-04_PRI","TC2_11_7",NA,"Tom Testa","NON",44070,0.274,0
"FL_1984-09-04_PRI","TC2_11_9",NA,"David Tobin","NON",51789,0.323,0
"FL_1984-09-04_PRI","TC2_11_9",NA,"Jack Turner","NON",108700,0.677,1
"FL_1984-09-04_PRI","TC2_12_6",NA,"Lee Haworth","NON",34708,0.48,0
"FL_1984-09-04_PRI","TC2_12_6",NA,"Tom Gallen","NON",37673,0.52,1
"FL_1984-09-04_PRI","TC2_14_4",NA,"Dedee Costello","NON",22827,0.452,0
"FL_1984-09-04_PRI","TC2_14_4",NA,"W. Turner","NON",27662,0.548,1
"FL_1984-09-04_PRI","TC2_15_1",NA,"Leon John","NON",25308,0.35,0
"FL_1984-09-04_PRI","TC2_15_1",NA,"Richard Wennet","NON",47018,0.65,1
"FL_1984-09-04_PRI","TC2_15_13",NA,"Frank Kreidler","NON",22005,0.295,0
"FL_1984-09-04_PRI","TC2_15_13",NA,"Mary Lupo","NON",52663,0.705,1
"FL_1984-09-04_PRI","TC2_15_4",NA,"James Carlisle","NON",40310,0.563,1
"FL_1984-09-04_PRI","TC2_15_4",NA,"Paul Douglas","NON",31351,0.437,0
"FL_1984-09-04_PRI","TC2_16_2",NA,"Bill Chappell","NON",3583,0.364,0
"FL_1984-09-04_PRI","TC2_16_2",NA,"Richard Fowler","NON",6266,0.636,1
"FL_1984-09-04_PRI","TC2_17_4",NA,"Patti Englander","NON",43702,0.543,1
"FL_1984-09-04_PRI","TC2_17_4",NA,"Robert O'Toole","NON",36787,0.457,0
"FL_1984-09-04_PRI","TC2_18_1",NA,"John Antoon","NON",34594,0.571,1
"FL_1984-09-04_PRI","TC2_18_1",NA,"Roger Dykes","NON",26036,0.429,0
"FL_1984-09-04_PRI","TC2_18_2",NA,"Tom Waddell, Jr.","NON",36023,0.6,1
"FL_1984-09-04_PRI","TC2_18_2",NA,"William Clifton","NON",23996,0.4,0
"FL_1984-09-04_PRI","TC2_2_1",NA,"Roosevelt Randolph","NON",20859,0.425,0
"FL_1984-09-04_PRI","TC2_2_1",NA,"William Gary","NON",28215,0.575,1
"FL_1984-09-04_PRI","TC2_2_3",NA,"Charles McClure","NON",34856,0.719,1
"FL_1984-09-04_PRI","TC2_2_3",NA,"David Busch","NON",13616,0.281,0
"FL_1984-09-04_PRI","TC2_2_4",NA,"Earl Black","NON",20885,0.468,0
"FL_1984-09-04_PRI","TC2_2_4",NA,"P. Davey","NON",23698,0.532,1
"FL_1984-09-04_PRI","TC2_20_4",NA,"Richard Stanley","NON",34997,0.461,0
"FL_1984-09-04_PRI","TC2_20_4",NA,"Wm. McIver","NON",40899,0.539,1
"FL_1984-09-04_PRI","TC2_20_8",NA,"Elmer Friday, Jr.","NON",39956,0.573,1
"FL_1984-09-04_PRI","TC2_20_8",NA,"Stephan Widmeyer","NON",29790,0.427,0
"FL_1984-09-04_PRI","TC2_4_6",NA,"John Cox","NON",38328,0.589,1
"FL_1984-09-04_PRI","TC2_4_6",NA,"John Sulik","NON",26731,0.411,0
"FL_1984-09-04_PRI","TC2_4_7",NA,"Bill Parsons","NON",15534,0.251,1
"FL_1984-09-04_PRI","TC2_4_7",NA,"Lester Makofka","NON",7689,0.124,0
"FL_1984-09-04_PRI","TC2_4_7",NA,"Michael Weatherby","NON",21284,0.344,1
"FL_1984-09-04_PRI","TC2_4_7",NA,"Ralph Elliott, Jr.","NON",8804,0.142,0
"FL_1984-09-04_PRI","TC2_4_7",NA,"Robert Persons, Jr.","NON",8633,0.139,0
"FL_1984-09-04_PRI","TC2_5_6",NA,"John Thurman","NON",32575,0.506,1
"FL_1984-09-04_PRI","TC2_5_6",NA,"Roy Caldwell","NON",31755,0.494,0
"FL_1984-09-04_PRI","TC2_6_1",NA,"Richard Carr","NON",59122,0.491,0
"FL_1984-09-04_PRI","TC2_6_1",NA,"W. Bray, Jr.","NON",61204,0.509,1
"FL_1984-09-04_PRI","TC2_6_15",NA,"John Ware","NON",75275,0.606,1
"FL_1984-09-04_PRI","TC2_6_15",NA,"Sondra Goldenfarb","NON",48863,0.394,0
"FL_1984-09-04_PRI","TC2_6_2",NA,"Elihu Berman","NON",31712,0.271,0
"FL_1984-09-04_PRI","TC2_6_2",NA,"Owen Albritton","NON",85129,0.729,1
"FL_1984-09-04_PRI","TC2_6_3",NA,"James Case","NON",66641,0.561,1
"FL_1984-09-04_PRI","TC2_6_3",NA,"William O'Malley","NON",52202,0.439,0
"FL_1984-09-04_PRI","TC2_6_6",NA,"Jerry Center","NON",40995,0.339,0
"FL_1984-09-04_PRI","TC2_6_6",NA,"John Andrews","NON",80030,0.661,1
"FL_1984-09-04_PRI","TC2_7_2",NA,"Cliff Gosney","NON",9976,0.171,0
"FL_1984-09-04_PRI","TC2_7_2",NA,"J. McFadden","NON",14487,0.248,1
"FL_1984-09-04_PRI","TC2_7_2",NA,"L. Blossom","NON",8765,0.15,0
"FL_1984-09-04_PRI","TC2_7_2",NA,"William Johnson, Jr.","NON",25133,0.431,1
"FL_1984-09-04_PRI-D","PD_10_000",NA,"Bob Grizzard","DEM",22838,0.47,0
"FL_1984-09-04_PRI-D","PD_10_000",NA,"James Moorman","DEM",25732,0.53,1
"FL_1984-09-04_PRI-D","PD_16_000",NA,"Hugh Papy","DEM",3162,0.348,0
"FL_1984-09-04_PRI-D","PD_16_000",NA,"John Keane","DEM",1336,0.147,0
"FL_1984-09-04_PRI-D","PD_16_000",NA,"Rand Winter","DEM",4592,0.505,1
"FL_1984-09-04_PRI-D","PD_2_000",NA,"Baya Harrison","DEM",15323,0.327,0
"FL_1984-09-04_PRI-D","PD_2_000",NA,"Michael Allen","DEM",31470,0.673,1
"FL_1984-09-04_PRI-D","PD_5_000",NA,"Howard Babb","DEM",31845,0.693,1
"FL_1984-09-04_PRI-D","PD_5_000",NA,"Ron Fox","DEM",14131,0.307,0
"FL_1984-09-04_PRI-D","SA_10_000",NA,"Frank Rouse","DEM",20034,0.381,0
"FL_1984-09-04_PRI-D","SA_10_000",NA,"Jerry Hill","DEM",32580,0.619,1
"FL_1984-09-04_PRI-D","SA_11_000",NA,"Janet Reno","DEM",82630,0.643,1
"FL_1984-09-04_PRI-D","SA_11_000",NA,"Jerry Sanford","DEM",45960,0.357,0
"FL_1984-09-04_PRI-D","SA_14_000",NA,"Ed Miller","DEM",17879,0.32,0
"FL_1984-09-04_PRI-D","SA_14_000",NA,"Jim Appleman","DEM",37939,0.68,1
"FL_1984-09-04_PRI-D","SA_2_000",NA,"Don Modesitt","DEM",22364,0.424,0
"FL_1984-09-04_PRI-D","SA_2_000",NA,"William Meggs","DEM",30320,0.576,1
