"election_id","office_id","candidate_id","candidate","party","votes","vote_share","winner"
"FL_2012-08-14_PRI","TC2_1_15",NA,"Terry Ketchel","NON",67384,0.629,1
"FL_2012-08-14_PRI","TC2_1_15",NA,"Thomas Murphy","NON",39812,0.371,0
"FL_2012-08-14_PRI","TC2_10_27",NA,"Catherine Combee","NON",37669,0.527,1
"FL_2012-08-14_PRI","TC2_10_27",NA,"Mark Kaylor","NON",33840,0.473,0
"FL_2012-08-14_PRI","TC2_10_7",NA,"Christine Thornhill","NON",30894,0.432,1
"FL_2012-08-14_PRI","TC2_10_7",NA,"Larry Helms","NON",17010,0.238,0
"FL_2012-08-14_PRI","TC2_10_7",NA,"William Sites","NON",23574,0.33,1
"FL_2012-08-14_PRI","TC2_11_15",NA,"Maria Verde","NON",101088,0.514,1
"FL_2012-08-14_PRI","TC2_11_15",NA,"Robert Coppel","NON",95399,0.486,0
"FL_2012-08-14_PRI","TC2_11_47",NA,"Alex Labora","NON",91968,0.485,0
"FL_2012-08-14_PRI","TC2_11_47",NA,"Maria Santovenia","NON",97837,0.515,1
"FL_2012-08-14_PRI","TC2_11_49",NA,"Teresa Pooler","NON",111913,0.566,1
"FL_2012-08-14_PRI","TC2_11_49",NA,"Victor De Yurre","NON",85837,0.434,0
"FL_2012-08-14_PRI","TC2_11_8",NA,"David Miller","NON",123117,0.622,1
"FL_2012-08-14_PRI","TC2_11_8",NA,"Mauricio Padilla","NON",74778,0.378,0
"FL_2012-08-14_PRI","TC2_13_14",NA,"Johnnie Byrd,","NON",37689,0.367,0
"FL_2012-08-14_PRI","TC2_13_14",NA,"Mark Wolfe","NON",64875,0.633,1
"FL_2012-08-14_PRI","TC2_15_2",NA,"Jody Lane","NON",42332,0.377,0
"FL_2012-08-14_PRI","TC2_15_2",NA,"Timothy McCarthy","NON",70091,0.623,1
"FL_2012-08-14_PRI","TC2_15_26",NA,"James Martz","NON",64618,0.581,1
"FL_2012-08-14_PRI","TC2_15_26",NA,"Margherita Downey","NON",46549,0.419,0
"FL_2012-08-14_PRI","TC2_15_9",NA,"Jaimie Goodman","NON",56737,0.49,0
"FL_2012-08-14_PRI","TC2_15_9",NA,"Ron Alvarez","NON",59009,0.51,1
"FL_2012-08-14_PRI","TC2_17_19",NA,"Julie Shapiro-Harris","NON",50020,0.486,0
"FL_2012-08-14_PRI","TC2_17_19",NA,"Michael Rothschild","NON",52950,0.514,1
"FL_2012-08-14_PRI","TC2_17_35",NA,"Dale Ross","NON",72324,0.708,1
