ElectionDate	PartyCode	PartyName	RaceCode	OfficeDesc	CountyCode	CountyName	Juris1num	Juris2num	Precincts	PrecinctsReporting	CanNameLast	CanNameFirst	CanNameMiddle	CanVotes
8/18/2020	REP	Republican	USR	United States Representative	ESC	Escambia	001		0	0	Gaetz	Matt		29272
8/18/2020	REP	Republican	USR	United States Representative	HOL	Holmes	001		6	6	Gaetz	Matt		2131
8/18/2020	REP	Republican	USR	United States Representative	OKA	Okaloosa	001		52	52	Gaetz	Matt		25861
8/18/2020	REP	Republican	USR	United States Representative	SAN	Santa Rosa	001		41	41	Gaetz	Matt		21536
8/18/2020	REP	Republican	USR	United States Representative	WAL	Walton	001		21	21	Gaetz	Matt		8657
8/18/2020	REP	Republican	USR	United States Representative	ESC	Escambia	001		0	0	Merk	Greg		4240
8/18/2020	REP	Republican	USR	United States Representative	HOL	Holmes	001		6	6	Merk	Greg		157
8/18/2020	REP	Republican	USR	United States Representative	OKA	Okaloosa	001		52	52	Merk	Greg		2385
8/18/2020	REP	Republican	USR	United States Representative	SAN	Santa Rosa	001		41	41	Merk	Greg		2696
8/18/2020	REP	Republican	USR	United States Representative	WAL	Walton	001		21	21	Merk	Greg		749
8/18/2020	REP	Republican	USR	United States Representative	ESC	Escambia	001		0	0	Mills	John		3477
8/18/2020	REP	Republican	USR	United States Representative	HOL	Holmes	001		6	6	Mills	John		260
8/18/2020	REP	Republican	USR	United States Representative	OKA	Okaloosa	001		52	52	Mills	John		3110
8/18/2020	REP	Republican	USR	United States Representative	SAN	Santa Rosa	001		41	41	Mills	John		2454
8/18/2020	REP	Republican	USR	United States Representative	WAL	Walton	001		21	21	Mills	John		1082
8/18/2020	REP	Republican	USR	United States Representative	ALA	Alachua	003		63	63	Cammack	Kat		4519
8/18/2020	REP	Republican	USR	United States Representative	BRA	Bradford	003		14	14	Cammack	Kat		1441
8/18/2020	REP	Republican	USR	United States Representative	CLA	Clay	003		0	0	Cammack	Kat		8482
8/18/2020	REP	Republican	USR	United States Representative	MRN	Marion	003		0	0	Cammack	Kat		3892
8/18/2020	REP	Republican	USR	United States Representative	PUT	Putnam	003		35	35	Cammack	Kat		2564
8/18/2020	REP	Republican	USR	United States Representative	UNI	Union	003		8	8	Cammack	Kat		781
8/18/2020	REP	Republican	USR	United States Representative	ALA	Alachua	003		63	63	Chamberlin	Ryan	D.	538
8/18/2020	REP	Republican	USR	United States Representative	BRA	Bradford	003		14	14	Chamberlin	Ryan	D.	95
8/18/2020	REP	Republican	USR	United States Representative	CLA	Clay	003		0	0	Chamberlin	Ryan	D.	1399
8/18/2020	REP	Republican	USR	United States Representative	MRN	Marion	003		0	0	Chamberlin	Ryan	D.	2724
8/18/2020	REP	Republican	USR	United States Representative	PUT	Putnam	003		35	35	Chamberlin	Ryan	D.	278
8/18/2020	REP	Republican	USR	United States Representative	UNI	Union	003		8	8	Chamberlin	Ryan	D.	33
8/18/2020	REP	Republican	USR	United States Representative	ALA	Alachua	003		63	63	Chase	Todd		3559
8/18/2020	REP	Republican	USR	United States Representative	BRA	Bradford	003		14	14	Chase	Todd		302
8/18/2020	REP	Republican	USR	United States Representative	CLA	Clay	003		0	0	Chase	Todd		2396
8/18/2020	REP	Republican	USR	United States Representative	MRN	Marion	003		0	0	Chase	Todd		1421
8/18/2020	REP	Republican	USR	United States Representative	PUT	Putnam	003		35	35	Chase	Todd		418
8/18/2020	REP	Republican	USR	United States Representative	UNI	Union	003		8	8	Chase	Todd		69
8/18/2020	REP	Republican	USR	United States Representative	ALA	Alachua	003		63	63	Engelbrecht	Bill		144
8/18/2020	REP	Republican	USR	United States Representative	BRA	Bradford	003		14	14	Engelbrecht	Bill		50
8/18/2020	REP	Republican	USR	United States Representative	CLA	Clay	003		0	0	Engelbrecht	Bill		1381
8/18/2020	REP	Republican	USR	United States Representative	MRN	Marion	003		0	0	Engelbrecht	Bill		241
8/18/2020	REP	Republican	USR	United States Representative	PUT	Putnam	003		35	35	Engelbrecht	Bill		173
