ElectionDate	PartyCode	PartyName	RaceCode	OfficeDesc	CountyCode	CountyName	Juris1num	Juris2num	Precincts	PrecinctsReporting	CanNameLast	CanNameFirst	CanNameMiddle	CanVotes
11/8/1988	REP	Republican	PRE	President of the United States	PAL	Palm Beach			0	0	Dan Quayle	George Bush	/	181408
11/8/1988	REP	Republican	PRE	President of the United States	PAS	Pasco			0	0	Dan Quayle	George Bush	/	63788
11/8/1988	REP	Republican	PRE	President of the United States	PIN	Pinellas			0	0	Dan Quayle	George Bush	/	210971
11/8/1988	REP	Republican	PRE	President of the United States	POL	Polk			0	0	Dan Quayle	George Bush	/	77065
11/8/1988	REP	Republican	PRE	President of the United States	PUT	Putnam			0	0	Dan Quayle	George Bush	/	11621
11/8/1988	REP	Republican	PRE	President of the United States	SAN	Santa Rosa			0	0	Dan Quayle	George Bush	/	18948
11/8/1988	REP	Republican	PRE	President of the United States	SAR	Sarasota			0	0	Dan Quayle	George Bush	/	84585
11/8/1988	REP	Republican	PRE	President of the United States	SEM	Seminole			0	0	Dan Quayle	George Bush	/	60328
11/8/1988	REP	Republican	PRE	President of the United States	STJ	St. Johns			0	0	Dan Quayle	George Bush	/	19164
11/8/1988	REP	Republican	PRE	President of the United States	STL	St. Lucie			0	0	Dan Quayle	George Bush	/	32241
11/8/1988	REP	Republican	PRE	President of the United States	SUM	Sumter			0	0	Dan Quayle	George Bush	/	5933
11/8/1988	REP	Republican	PRE	President of the United States	SUW	Suwannee			0	0	Dan Quayle	George Bush	/	5859
11/8/1988	REP	Republican	PRE	President of the United States	TAY	Taylor			0	0	Dan Quayle	George Bush	/	4054
11/8/1988	REP	Republican	PRE	President of the United States	UNI	Union			0	0	Dan Quayle	George Bush	/	1643
11/8/1988	REP	Republican	PRE	President of the United States	VOL	Volusia			0	0	Dan Quayle	George Bush	/	74116
11/8/1988	REP	Republican	PRE	President of the United States	WAK	Wakulla			0	0	Dan Quayle	George Bush	/	3157
11/8/1988	REP	Republican	PRE	President of the United States	WAL	Walton			0	0	Dan Quayle	George Bush	/	7481
11/8/1988	REP	Republican	PRE	President of the United States	WAS	Washington			0	0	Dan Quayle	George Bush	/	4366
11/8/1988	DEM	Democrat	PRE	President of the United States	ALA	Alachua			0	0	Lloyd Bentsen	Michael S. Dukakis	/	29375
11/8/1988	DEM	Democrat	PRE	President of the United States	BAK	Baker			0	0	Lloyd Bentsen	Michael S. Dukakis	/	1353
11/8/1988	DEM	Democrat	PRE	President of the United States	BAY	Bay			0	0	Lloyd Bentsen	Michael S. Dukakis	/	11582
11/8/1988	DEM	Democrat	PRE	President of the United States	BRA	Bradford			0	0	Lloyd Bentsen	Michael S. Dukakis	/	2386
11/8/1988	DEM	Democrat	PRE	President of the United States	BRE	Brevard			0	0	Lloyd Bentsen	Michael S. Dukakis	/	42967
11/8/1988	DEM	Democrat	PRE	President of the United States	BRO	Broward			0	0	Lloyd Bentsen	Michael S. Dukakis	/	218211
11/8/1988	DEM	Democrat	PRE	President of the United States	CAL	Calhoun			0	0	Lloyd Bentsen	Michael S. Dukakis	/	1329
11/8/1988	DEM	Democrat	PRE	President of the United States	CHA	Charlotte			0	0	Lloyd Bentsen	Michael S. Dukakis	/	15967
11/8/1988	DEM	Democrat	PRE	President of the United States	CIT	Citrus			0	0	Lloyd Bentsen	Michael S. Dukakis	/	12177
11/8/1988	DEM	Democrat	PRE	President of the United States	CLA	Clay			0	0	Lloyd Bentsen	Michael S. Dukakis	/	7766
11/8/1988	DEM	Democrat	PRE	President of the United States	CLL	Collier			0	0	Lloyd Bentsen	Michael S. Dukakis	/	12768
11/8/1988	DEM	Democrat	PRE	President of the United States	CLM	Columbia			0	0	Lloyd Bentsen	Michael S. Dukakis	/	4072
11/8/1988	DEM	Democrat	PRE	President of the United States	DES	Desoto			0	0	Lloyd Bentsen	Michael S. Dukakis	/	2181
11/8/1988	DEM	Democrat	PRE	President of the United States	DIX	Dixie			0	0	Lloyd Bentsen	Michael S. Dukakis	/	1366
11/8/1988	DEM	Democrat	PRE	President of the United States	DUV	Duval			0	0	Lloyd Bentsen	Michael S. Dukakis	/	74832
11/8/1988	DEM	Democrat	PRE	President of the United States	ESC	Escambia			0	0	Lloyd Bentsen	Michael S. Dukakis	/	29934
11/8/1988	DEM	Democrat	PRE	President of the United States	FLA	Flagler			0	0	Lloyd Bentsen	Michael S. Dukakis	/	4241
11/8/1988	DEM	Democrat	PRE	President of the United States	FRA	Franklin			0	0	Lloyd Bentsen	Michael S. Dukakis	/	1283
11/8/1988	DEM	Democrat	PRE	President of the United States	GAD	Gadsden			0	0	Lloyd Bentsen	Michael S. Dukakis	/	6368
11/8/1988	DEM	Democrat	PRE	President of the United States	GIL	Gilchrist			0	0	Lloyd Bentsen	Michael S. Dukakis	/	1137
11/8/1988	DEM	Democrat	PRE	President of the United States	GLA	Glades			0	0	Lloyd Bentsen	Michael S. Dukakis	/	1034
11/8/1988	DEM	Democrat	PRE	President of the United States	GUL	Gulf			0	0	Lloyd Bentsen	Michael S. Dukakis	/	1687
11/8/1988	DEM	Democrat	PRE	President of the United States	HAM	Hamilton			0	0	Lloyd Bentsen	Michael S. Dukakis	/	1314
11/8/1988	DEM	Democrat	PRE	President of the United States	HAR	Hardee			0	0	Lloyd Bentsen	Michael S. Dukakis	/	1688
11/8/1988	DEM	Democrat	PRE	President of the United States	HEN	Hendry			0	0	Lloyd Bentsen	Michael S. Dukakis	/	2036
11/8/1988	DEM	Democrat	PRE	President of the United States	HER	Hernando			0	0	Lloyd Bentsen	Michael S. Dukakis	/	15432
11/8/1988	DEM	Democrat	PRE	President of the United States	HIG	Highlands			0	0	Lloyd Bentsen	Michael S. Dukakis	/	8087
11/8/1988	DEM	Democrat	PRE	President of the United States	HIL	Hillsborough			0	0	Lloyd Bentsen	Michael S. Dukakis	/	98969
11/8/1988	DEM	Democrat	PRE	President of the United States	HOL	Holmes			0	0	Lloyd Bentsen	Michael S. Dukakis	/	1639
11/8/1988	DEM	Democrat	PRE	President of the United States	IND	Indian River			0	0	Lloyd Bentsen	Michael S. Dukakis	/	10447
11/8/1988	DEM	Democrat	PRE	President of the United States	JAC	Jackson			0	0	Lloyd Bentsen	Michael S. Dukakis	/	5002
11/8/1988	DEM	Democrat	PRE	President of the United States	JEF	Jefferson			0	0	Lloyd Bentsen	Michael S. Dukakis	/	2055
11/8/1988	DEM	Democrat	PRE	President of the United States	LAF	Lafayette			0	0	Lloyd Bentsen	Michael S. Dukakis	/	722
11/8/1988	DEM	Democrat	PRE	President of the United States	LAK	Lake			0	0	Lloyd Bentsen	Michael S. Dukakis	/	16762
11/8/1988	DEM	Democrat	PRE	President of the United States	LEE	Lee			0	0	Lloyd Bentsen	Michael S. Dukakis	/	40709
11/8/1988	DEM	Democrat	PRE	President of the United States	LEO	Leon			0	0	Lloyd Bentsen	Michael S. Dukakis	/	33446
11/8/1988	DEM	Democrat	PRE	President of the United States	LEV	Levy			0	0	Lloyd Bentsen	Michael S. Dukakis	/	3433
11/8/1988	DEM	Democrat	PRE	President of the United States	LIB	Liberty			0	0	Lloyd Bentsen	Michael S. Dukakis	/	709
11/8/1988	DEM	Democrat	PRE	President of the United States	MAD	Madison			0	0	Lloyd Bentsen	Michael S. Dukakis	/	1950
11/8/1988	DEM	Democrat	PRE	President of the United States	MAN	Manatee			0	0	Lloyd Bentsen	Michael S. Dukakis	/	26618
11/8/1988	DEM	Democrat	PRE	President of the United States	MRN	Marion			0	0	Lloyd Bentsen	Michael S. Dukakis	/	20679
11/8/1988	DEM	Democrat	PRE	President of the United States	MRT	Martin			0	0	Lloyd Bentsen	Michael S. Dukakis	/	11486
11/8/1988	DEM	Democrat	PRE	President of the United States	DAD	Miami-Dade			0	0	Lloyd Bentsen	Michael S. Dukakis	/	216847
11/8/1988	DEM	Democrat	PRE	President of the United States	MON	Monroe			0	0	Lloyd Bentsen	Michael S. Dukakis	/	10151
11/8/1988	DEM	Democrat	PRE	President of the United States	NAS	Nassau			0	0	Lloyd Bentsen	Michael S. Dukakis	/	4138
11/8/1988	DEM	Democrat	PRE	President of the United States	OKA	Okaloosa			0	0	Lloyd Bentsen	Michael S. Dukakis	/	9726
11/8/1988	DEM	Democrat	PRE	President of the United States	OKE	Okeechobee			0	0	Lloyd Bentsen	Michael S. Dukakis	/	3007
11/8/1988	DEM	Democrat	PRE	President of the United States	ORA	Orange			0	0	Lloyd Bentsen	Michael S. Dukakis	/	53991
11/8/1988	DEM	Democrat	PRE	President of the United States	OSC	Osceola			0	0	Lloyd Bentsen	Michael S. Dukakis	/	9811
11/8/1988	DEM	Democrat	PRE	President of the United States	PAL	Palm Beach			0	0	Lloyd Bentsen	Michael S. Dukakis	/	144143
11/8/1988	DEM	Democrat	PRE	President of the United States	PAS	Pasco			0	0	Lloyd Bentsen	Michael S. Dukakis	/	50369
11/8/1988	DEM	Democrat	PRE	President of the United States	PIN	Pinellas			0	0	Lloyd Bentsen	Michael S. Dukakis	/	152374
11/8/1988	DEM	Democrat	PRE	President of the United States	POL	Polk			0	0	Lloyd Bentsen	Michael S. Dukakis	/	38236
11/8/1988	DEM	Democrat	PRE	President of the United States	PUT	Putnam			0	0	Lloyd Bentsen	Michael S. Dukakis	/	8569
11/8/1988	DEM	Democrat	PRE	President of the United States	SAN	Santa Rosa			0	0	Lloyd Bentsen	Michael S. Dukakis	/	5251
11/8/1988	DEM	Democrat	PRE	President of the United States	SAR	Sarasota			0	0	Lloyd Bentsen	Michael S. Dukakis	/	42095
11/8/1988	DEM	Democrat	PRE	President of the United States	SEM	Seminole			0	0	Lloyd Bentsen	Michael S. Dukakis	/	22627
11/8/1988	DEM	Democrat	PRE	President of the United States	STJ	St. Johns			0	0	Lloyd Bentsen	Michael S. Dukakis	/	7999
11/8/1988	DEM	Democrat	PRE	President of the United States	STL	St. Lucie			0	0	Lloyd Bentsen	Michael S. Dukakis	/	17427
11/8/1988	DEM	Democrat	PRE	President of the United States	SUM	Sumter			0	0	Lloyd Bentsen	Michael S. Dukakis	/	3900
11/8/1988	DEM	Democrat	PRE	President of the United States	SUW	Suwannee			0	0	Lloyd Bentsen	Michael S. Dukakis	/	3126
11/8/1988	DEM	Democrat	PRE	President of the United States	TAY	Taylor			0	0	Lloyd Bentsen	Michael S. Dukakis	/	1762
11/8/1988	DEM	Democrat	PRE	President of the United States	UNI	Union			0	0	Lloyd Bentsen	Michael S. Dukakis	/	691
11/8/1988	DEM	Democrat	PRE	President of the United States	VOL	Volusia			0	0	Lloyd Bentsen	Michael S. Dukakis	/	55437
11/8/1988	DEM	Democrat	PRE	President of the United States	WAK	Wakulla			0	0	Lloyd Bentsen	Michael S. Dukakis	/	1605
11/8/1988	DEM	Democrat	PRE	President of the United States	WAL	Walton			0	0	Lloyd Bentsen	Michael S. Dukakis	/	3231
11/8/1988	DEM	Democrat	PRE	President of the United States	WAS	Washington			0	0	Lloyd Bentsen	Michael S. Dukakis	/	2139
11/8/1988	LIB	Libertarian	PRE	President of the United States	ALA	Alachua			0	0	Andre Marrou	Ron Paul	/	542
11/8/1988	LIB	Libertarian	PRE	President of the United States	BAK	Baker			0	0	Andre Marrou	Ron Paul	/	6
11/8/1988	LIB	Libertarian	PRE	President of the United States	BAY	Bay			0	0	Andre Marrou	Ron Paul	/	379
11/8/1988	LIB	Libertarian	PRE	President of the United States	BRA	Bradford			0	0	Andre Marrou	Ron Paul	/	21
11/8/1988	LIB	Libertarian	PRE	President of the United States	BRE	Brevard			0	0	Andre Marrou	Ron Paul	/	1053
11/8/1988	LIB	Libertarian	PRE	President of the United States	BRO	Broward			0	0	Andre Marrou	Ron Paul	/	1417
11/8/1988	LIB	Libertarian	PRE	President of the United States	CAL	Calhoun			0	0	Andre Marrou	Ron Paul	/	21
11/8/1988	LIB	Libertarian	PRE	President of the United States	CHA	Charlotte			0	0	Andre Marrou	Ron Paul	/	223
11/8/1988	LIB	Libertarian	PRE	President of the United States	CIT	Citrus			0	0	Andre Marrou	Ron Paul	/	166
11/8/1988	LIB	Libertarian	PRE	President of the United States	CLA	Clay			0	0	Andre Marrou	Ron Paul	/	93
11/8/1988	LIB	Libertarian	PRE	President of the United States	CLL	Collier			0	0	Andre Marrou	Ron Paul	/	219
11/8/1988	LIB	Libertarian	PRE	President of the United States	CLM	Columbia			0	0	Andre Marrou	Ron Paul	/	60
11/8/1988	LIB	Libertarian	PRE	President of the United States	DES	Desoto			0	0	Andre Marrou	Ron Paul	/	36
11/8/1988	LIB	Libertarian	PRE	President of the United States	DIX	Dixie			0	0	Andre Marrou	Ron Paul	/	0
11/8/1988	LIB	Libertarian	PRE	President of the United States	DUV	Duval			0	0	Andre Marrou	Ron Paul	/	724
11/8/1988	LIB	Libertarian	PRE	President of the United States	ESC	Escambia			0	0	Andre Marrou	Ron Paul	/	358
11/8/1988	LIB	Libertarian	PRE	President of the United States	FLA	Flagler			0	0	Andre Marrou	Ron Paul	/	29
11/8/1988	LIB	Libertarian	PRE	President of the United States	FRA	Franklin			0	0	Andre Marrou	Ron Paul	/	49
11/8/1988	LIB	Libertarian	PRE	President of the United States	GAD	Gadsden			0	0	Andre Marrou	Ron Paul	/	108
11/8/1988	LIB	Libertarian	PRE	President of the United States	GIL	Gilchrist			0	0	Andre Marrou	Ron Paul	/	19
11/8/1988	LIB	Libertarian	PRE	President of the United States	GLA	Glades			0	0	Andre Marrou	Ron Paul	/	10
11/8/1988	LIB	Libertarian	PRE	President of the United States	GUL	Gulf			0	0	Andre Marrou	Ron Paul	/	116
11/8/1988	LIB	Libertarian	PRE	President of the United States	HAM	Hamilton			0	0	Andre Marrou	Ron Paul	/	10
11/8/1988	LIB	Libertarian	PRE	President of the United States	HAR	Hardee			0	0	Andre Marrou	Ron Paul	/	77
11/8/1988	LIB	Libertarian	PRE	President of the United States	HEN	Hendry			0	0	Andre Marrou	Ron Paul	/	28
11/8/1988	LIB	Libertarian	PRE	President of the United States	HER	Hernando			0	0	Andre Marrou	Ron Paul	/	150
11/8/1988	LIB	Libertarian	PRE	President of the United States	HIG	Highlands			0	0	Andre Marrou	Ron Paul	/	94
11/8/1988	LIB	Libertarian	PRE	President of the United States	HIL	Hillsborough			0	0	Andre Marrou	Ron Paul	/	1127
11/8/1988	LIB	Libertarian	PRE	President of the United States	HOL	Holmes			0	0	Andre Marrou	Ron Paul	/	24
11/8/1988	LIB	Libertarian	PRE	President of the United States	IND	Indian River			0	0	Andre Marrou	Ron Paul	/	195
11/8/1988	LIB	Libertarian	PRE	President of the United States	JAC	Jackson			0	0	Andre Marrou	Ron Paul	/	70
11/8/1988	LIB	Libertarian	PRE	President of the United States	JEF	Jefferson			0	0	Andre Marrou	Ron Paul	/	13
11/8/1988	LIB	Libertarian	PRE	President of the United States	LAF	Lafayette			0	0	Andre Marrou	Ron Paul	/	8
11/8/1988	LIB	Libertarian	PRE	President of the United States	LAK	Lake			0	0	Andre Marrou	Ron Paul	/	392
11/8/1988	LIB	Libertarian	PRE	President of the United States	LEE	Lee			0	0	Andre Marrou	Ron Paul	/	672
11/8/1988	LIB	Libertarian	PRE	President of the United States	LEO	Leon			0	0	Andre Marrou	Ron Paul	/	425
11/8/1988	LIB	Libertarian	PRE	President of the United States	LEV	Levy			0	0	Andre Marrou	Ron Paul	/	90
11/8/1988	LIB	Libertarian	PRE	President of the United States	LIB	Liberty			0	0	Andre Marrou	Ron Paul	/	30
11/8/1988	LIB	Libertarian	PRE	President of the United States	MAD	Madison			0	0	Andre Marrou	Ron Paul	/	12
11/8/1988	LIB	Libertarian	PRE	President of the United States	MAN	Manatee			0	0	Andre Marrou	Ron Paul	/	225
11/8/1988	LIB	Libertarian	PRE	President of the United States	MRN	Marion			0	0	Andre Marrou	Ron Paul	/	246
11/8/1988	LIB	Libertarian	PRE	President of the United States	MRT	Martin			0	0	Andre Marrou	Ron Paul	/	257
11/8/1988	LIB	Libertarian	PRE	President of the United States	DAD	Miami-Dade			0	0	Andre Marrou	Ron Paul	/	1387
11/8/1988	LIB	Libertarian	PRE	President of the United States	MON	Monroe			0	0	Andre Marrou	Ron Paul	/	257
11/8/1988	LIB	Libertarian	PRE	President of the United States	NAS	Nassau			0	0	Andre Marrou	Ron Paul	/	44
11/8/1988	LIB	Libertarian	PRE	President of the United States	OKA	Okaloosa			0	0	Andre Marrou	Ron Paul	/	233
11/8/1988	LIB	Libertarian	PRE	President of the United States	OKE	Okeechobee			0	0	Andre Marrou	Ron Paul	/	29
11/8/1988	LIB	Libertarian	PRE	President of the United States	ORA	Orange			0	0	Andre Marrou	Ron Paul	/	1257
11/8/1988	LIB	Libertarian	PRE	President of the United States	OSC	Osceola			0	0	Andre Marrou	Ron Paul	/	164
11/8/1988	LIB	Libertarian	PRE	President of the United States	PAL	Palm Beach			0	0	Andre Marrou	Ron Paul	/	1106
11/8/1988	LIB	Libertarian	PRE	President of the United States	PAS	Pasco			0	0	Andre Marrou	Ron Paul	/	431
11/8/1988	LIB	Libertarian	PRE	President of the United States	PIN	Pinellas			0	0	Andre Marrou	Ron Paul	/	1372
11/8/1988	LIB	Libertarian	PRE	President of the United States	POL	Polk			0	0	Andre Marrou	Ron Paul	/	505
11/8/1988	LIB	Libertarian	PRE	President of the United States	PUT	Putnam			0	0	Andre Marrou	Ron Paul	/	78
11/8/1988	LIB	Libertarian	PRE	President of the United States	SAN	Santa Rosa			0	0	Andre Marrou	Ron Paul	/	95
11/8/1988	LIB	Libertarian	PRE	President of the United States	SAR	Sarasota			0	0	Andre Marrou	Ron Paul	/	501
11/8/1988	LIB	Libertarian	PRE	President of the United States	SEM	Seminole			0	0	Andre Marrou	Ron Paul	/	550
11/8/1988	LIB	Libertarian	PRE	President of the United States	STJ	St. Johns			0	0	Andre Marrou	Ron Paul	/	119
11/8/1988	LIB	Libertarian	PRE	President of the United States	STL	St. Lucie			0	0	Andre Marrou	Ron Paul	/	216
11/8/1988	LIB	Libertarian	PRE	President of the United States	SUM	Sumter			0	0	Andre Marrou	Ron Paul	/	47
11/8/1988	LIB	Libertarian	PRE	President of the United States	SUW	Suwannee			0	0	Andre Marrou	Ron Paul	/	106
11/8/1988	LIB	Libertarian	PRE	President of the United States	TAY	Taylor			0	0	Andre Marrou	Ron Paul	/	27
11/8/1988	LIB	Libertarian	PRE	President of the United States	UNI	Union			0	0	Andre Marrou	Ron Paul	/	11
11/8/1988	LIB	Libertarian	PRE	President of the United States	VOL	Volusia			0	0	Andre Marrou	Ron Paul	/	1330
11/8/1988	LIB	Libertarian	PRE	President of the United States	WAK	Wakulla			0	0	Andre Marrou	Ron Paul	/	21
11/8/1988	LIB	Libertarian	PRE	President of the United States	WAL	Walton			0	0	Andre Marrou	Ron Paul	/	67
11/8/1988	LIB	Libertarian	PRE	President of the United States	WAS	Washington			0	0	Andre Marrou	Ron Paul	/	34
11/8/1988	NAL	New Alliance	PRE	President of the United States	ALA	Alachua			0	0	Joyce Datter	Lenora B. Fulani	/	120
11/8/1988	NAL	New Alliance	PRE	President of the United States	BAK	Baker			0	0	Joyce Datter	Lenora B. Fulani	/	2
11/8/1988	NAL	New Alliance	PRE	President of the United States	BAY	Bay			0	0	Joyce Datter	Lenora B. Fulani	/	70
11/8/1988	NAL	New Alliance	PRE	President of the United States	BRA	Bradford			0	0	Joyce Datter	Lenora B. Fulani	/	8
11/8/1988	NAL	New Alliance	PRE	President of the United States	BRE	Brevard			0	0	Joyce Datter	Lenora B. Fulani	/	223
11/8/1988	NAL	New Alliance	PRE	President of the United States	BRO	Broward			0	0	Joyce Datter	Lenora B. Fulani	/	581
11/8/1988	NAL	New Alliance	PRE	President of the United States	CAL	Calhoun			0	0	Joyce Datter	Lenora B. Fulani	/	12
11/8/1988	NAL	New Alliance	PRE	President of the United States	CHA	Charlotte			0	0	Joyce Datter	Lenora B. Fulani	/	69
11/8/1988	NAL	New Alliance	PRE	President of the United States	CIT	Citrus			0	0	Joyce Datter	Lenora B. Fulani	/	41
11/8/1988	NAL	New Alliance	PRE	President of the United States	CLA	Clay			0	0	Joyce Datter	Lenora B. Fulani	/	24
11/8/1988	NAL	New Alliance	PRE	President of the United States	CLL	Collier			0	0	Joyce Datter	Lenora B. Fulani	/	56
11/8/1988	NAL	New Alliance	PRE	President of the United States	CLM	Columbia			0	0	Joyce Datter	Lenora B. Fulani	/	22
11/8/1988	NAL	New Alliance	PRE	President of the United States	DES	Desoto			0	0	Joyce Datter	Lenora B. Fulani	/	4
