County,Office,Candidate,Party,District,Votes
Blackford,US Senator,Joe Donnelly,Democratic,"1,2,3,4,5,6,7,8,9",407
Clark,US Senator,Joe Donnelly,Democratic,"1,2,3,4,5,6,7,8,9",5823
Decatur,US Senator,Joe Donnelly,Democratic,"1,2,3,4,5,6,7,8,9",497
Delaware,US Senator,Joe Donnelly,Democratic,"1,2,3,4,5,6,7,8,9",6403
Elkhart,US Senator,Joe Donnelly,Democratic,"1,2,3,4,5,6,7,8,9",5792
Benton,US Senator,Joe Donnelly,Democratic,"1,2,3,4,5,6,7,8,9",127
Brown,US Senator,Joe Donnelly,Democratic,"1,2,3,4,5,6,7,8,9",1122
Dubois,US Senator,Joe Donnelly,Democratic,"1,2,3,4,5,6,7,8,9",1460
Adams,US Senator,Joe Donnelly,Democratic,"1,2,3,4,5,6,7,8,9",681
Carroll,US Senator,Joe Donnelly,Democratic,"1,2,3,4,5,6,7,8,9",451
Clay,US Senator,Joe Donnelly,Democratic,"1,2,3,4,5,6,7,8,9",944
Clinton,US Senator,Joe Donnelly,Democratic,"1,2,3,4,5,6,7,8,9",500
Crawford,US Senator,Joe Donnelly,Democratic,"1,2,3,4,5,6,7,8,9",687
Daviess,US Senator,Joe Donnelly,Democratic,"1,2,3,4,5,6,7,8,9",337
DeKalb,US Senator,Joe Donnelly,Democratic,"1,2,3,4,5,6,7,8,9",762
Allen,US Senator,Joe Donnelly,Democratic,"1,2,3,4,5,6,7,8,9",13224
Bartholomew,US Senator,Joe Donnelly,Democratic,"1,2,3,4,5,6,7,8,9",2766
Boone,US Senator,Joe Donnelly,Democratic,"1,2,3,4,5,6,7,8,9",1583
Cass,US Senator,Joe Donnelly,Democratic,"1,2,3,4,5,6,7,8,9",1032
Dearborn,US Senator,Joe Donnelly,Democratic,"1,2,3,4,5,6,7,8,9",901
Bartholomew,US Senator,Luke Messer,Republican,"1,2,3,4,5,6,7,8,9",4148
Blackford,US Senator,Luke Messer,Republican,"1,2,3,4,5,6,7,8,9",541
Cass,US Senator,Luke Messer,Republican,"1,2,3,4,5,6,7,8,9",837
Dearborn,US Senator,Luke Messer,Republican,"1,2,3,4,5,6,7,8,9",3444
DeKalb,US Senator,Luke Messer,Republican,"1,2,3,4,5,6,7,8,9",1278
Allen,US Senator,Luke Messer,Republican,"1,2,3,4,5,6,7,8,9",5248
Benton,US Senator,Luke Messer,Republican,"1,2,3,4,5,6,7,8,9",190
Carroll,US Senator,Luke Messer,Republican,"1,2,3,4,5,6,7,8,9",511
Daviess,US Senator,Luke Messer,Republican,"1,2,3,4,5,6,7,8,9",1298
Dubois,US Senator,Luke Messer,Republican,"1,2,3,4,5,6,7,8,9",349
Adams,US Senator,Luke Messer,Republican,"1,2,3,4,5,6,7,8,9",848
Clark,US Senator,Luke Messer,Republican,"1,2,3,4,5,6,7,8,9",1912
Clay,US Senator,Luke Messer,Republican,"1,2,3,4,5,6,7,8,9",620
Clinton,US Senator,Luke Messer,Republican,"1,2,3,4,5,6,7,8,9",919
Crawford,US Senator,Luke Messer,Republican,"1,2,3,4,5,6,7,8,9",461
Boone,US Senator,Luke Messer,Republican,"1,2,3,4,5,6,7,8,9",1970
Brown,US Senator,Luke Messer,Republican,"1,2,3,4,5,6,7,8,9",575
Decatur,US Senator,Luke Messer,Republican,"1,2,3,4,5,6,7,8,9",2732
Delaware,US Senator,Luke Messer,Republican,"1,2,3,4,5,6,7,8,9",2895
Elkhart,US Senator,Luke Messer,Republican,"1,2,3,4,5,6,7,8,9",4157
Bartholomew,US Senator,Mike Braun,Republican,"1,2,3,4,5,6,7,8,9",2908
Benton,US Senator,Mike Braun,Republican,"1,2,3,4,5,6,7,8,9",350
Blackford,US Senator,Mike Braun,Republican,"1,2,3,4,5,6,7,8,9",596
Brown,US Senator,Mike Braun,Republican,"1,2,3,4,5,6,7,8,9",933
Decatur,US Senator,Mike Braun,Republican,"1,2,3,4,5,6,7,8,9",937
Delaware,US Senator,Mike Braun,Republican,"1,2,3,4,5,6,7,8,9",2379
Dubois,US Senator,Mike Braun,Republican,"1,2,3,4,5,6,7,8,9",3289
Cass,US Senator,Mike Braun,Republican,"1,2,3,4,5,6,7,8,9",2093
Clark,US Senator,Mike Braun,Republican,"1,2,3,4,5,6,7,8,9",2716
Adams,US Senator,Mike Braun,Republican,"1,2,3,4,5,6,7,8,9",1639
Carroll,US Senator,Mike Braun,Republican,"1,2,3,4,5,6,7,8,9",956
Clay,US Senator,Mike Braun,Republican,"1,2,3,4,5,6,7,8,9",1561
Clinton,US Senator,Mike Braun,Republican,"1,2,3,4,5,6,7,8,9",1437
Crawford,US Senator,Mike Braun,Republican,"1,2,3,4,5,6,7,8,9",642
Daviess,US Senator,Mike Braun,Republican,"1,2,3,4,5,6,7,8,9",3214
Dearborn,US Senator,Mike Braun,Republican,"1,2,3,4,5,6,7,8,9",1064
DeKalb,US Senator,Mike Braun,Republican,"1,2,3,4,5,6,7,8,9",1804
Allen,US Senator,Mike Braun,Republican,"1,2,3,4,5,6,7,8,9",9310
Boone,US Senator,Mike Braun,Republican,"1,2,3,4,5,6,7,8,9",3521
Elkhart,US Senator,Mike Braun,Republican,"1,2,3,4,5,6,7,8,9",6301
Benton,US Senator,Todd Rokita,Republican,"1,2,3,4,5,6,7,8,9",457
Brown,US Senator,Todd Rokita,Republican,"1,2,3,4,5,6,7,8,9",730
Clark,US Senator,Todd Rokita,Republican,"1,2,3,4,5,6,7,8,9",1816
Blackford,US Senator,Todd Rokita,Republican,"1,2,3,4,5,6,7,8,9",486
Boone,US Senator,Todd Rokita,Republican,"1,2,3,4,5,6,7,8,9",2664
Decatur,US Senator,Todd Rokita,Republican,"1,2,3,4,5,6,7,8,9",481
Delaware,US Senator,Todd Rokita,Republican,"1,2,3,4,5,6,7,8,9",1384
Elkhart,US Senator,Todd Rokita,Republican,"1,2,3,4,5,6,7,8,9",5332
Adams,US Senator,Todd Rokita,Republican,"1,2,3,4,5,6,7,8,9",1276
Carroll,US Senator,Todd Rokita,Republican,"1,2,3,4,5,6,7,8,9",1045
Clay,US Senator,Todd Rokita,Republican,"1,2,3,4,5,6,7,8,9",679
Clinton,US Senator,Todd Rokita,Republican,"1,2,3,4,5,6,7,8,9",2022
Crawford,US Senator,Todd Rokita,Republican,"1,2,3,4,5,6,7,8,9",245
Daviess,US Senator,Todd Rokita,Republican,"1,2,3,4,5,6,7,8,9",714
DeKalb,US Senator,Todd Rokita,Republican,"1,2,3,4,5,6,7,8,9",1549
Dubois,US Senator,Todd Rokita,Republican,"1,2,3,4,5,6,7,8,9",279
Allen,US Senator,Todd Rokita,Republican,"1,2,3,4,5,6,7,8,9",8084
Bartholomew,US Senator,Todd Rokita,Republican,"1,2,3,4,5,6,7,8,9",1823
Cass,US Senator,Todd Rokita,Republican,"1,2,3,4,5,6,7,8,9",1808
Dearborn,US Senator,Todd Rokita,Republican,"1,2,3,4,5,6,7,8,9",874
Adams,US Representative,Courtney Tritch,Democratic,3,472
Allen,US Representative,Courtney Tritch,Democratic,3,11268
Blackford,US Representative,Courtney Tritch,Democratic,3,53
DeKalb,US Representative,Courtney Tritch,Democratic,3,571
Brown,US Representative,Dan Canon,Democratic,9,228
Clark,US Representative,Dan Canon,Democratic,9,2212
Crawford,US Representative,Dan Canon,Democratic,9,181
