County,Office,Candidate,Party,District,Votes
Bartholomew,President,Bernie Sanders,Democratic,Statewide,3183
Decatur,President,Bernie Sanders,Democratic,Statewide,733
Delaware,President,Bernie Sanders,Democratic,Statewide,7730
Adams,President,Bernie Sanders,Democratic,Statewide,1030
Carroll,President,Bernie Sanders,Democratic,Statewide,648
Clay,President,Bernie Sanders,Democratic,Statewide,1049
Clinton,President,Bernie Sanders,Democratic,Statewide,1046
Crawford,President,Bernie Sanders,Democratic,Statewide,616
Daviess,President,Bernie Sanders,Democratic,Statewide,701
DeKalb,President,Bernie Sanders,Democratic,Statewide,1270
Dubois,President,Bernie Sanders,Democratic,Statewide,2293
Benton,President,Bernie Sanders,Democratic,Statewide,235
Brown,President,Bernie Sanders,Democratic,Statewide,1270
Clark,President,Bernie Sanders,Democratic,Statewide,5308
Allen,President,Bernie Sanders,Democratic,Statewide,16456
Blackford,President,Bernie Sanders,Democratic,Statewide,514
Boone,President,Bernie Sanders,Democratic,Statewide,2555
Cass,President,Bernie Sanders,Democratic,Statewide,1656
Dearborn,President,Bernie Sanders,Democratic,Statewide,1246
Elkhart,President,Bernie Sanders,Democratic,Statewide,6440
Allen,President,Hillary Clinton,Democratic,Statewide,15045
Boone,President,Hillary Clinton,Democratic,Statewide,2075
Clay,President,Hillary Clinton,Democratic,Statewide,931
Elkhart,President,Hillary Clinton,Democratic,Statewide,4791
Bartholomew,President,Hillary Clinton,Democratic,Statewide,2778
Benton,President,Hillary Clinton,Democratic,Statewide,190
Blackford,President,Hillary Clinton,Democratic,Statewide,493
Cass,President,Hillary Clinton,Democratic,Statewide,1137
Brown,President,Hillary Clinton,Democratic,Statewide,806
Carroll,President,Hillary Clinton,Democratic,Statewide,508
Daviess,President,Hillary Clinton,Democratic,Statewide,539
Decatur,President,Hillary Clinton,Democratic,Statewide,631
DeKalb,President,Hillary Clinton,Democratic,Statewide,1140
Delaware,President,Hillary Clinton,Democratic,Statewide,6137
Dubois,President,Hillary Clinton,Democratic,Statewide,2305
Adams,President,Hillary Clinton,Democratic,Statewide,991
Clinton,President,Hillary Clinton,Democratic,Statewide,724
Crawford,President,Hillary Clinton,Democratic,Statewide,684
Dearborn,President,Hillary Clinton,Democratic,Statewide,1391
Clark,President,Hillary Clinton,Democratic,Statewide,6195
Bartholomew,President,Ben Carson,Republican,Statewide,164
Boone,President,Ben Carson,Republican,Statewide,101
Decatur,President,Ben Carson,Republican,Statewide,47
Delaware,President,Ben Carson,Republican,Statewide,147
Allen,President,Ben Carson,Republican,Statewide,569
Blackford,President,Ben Carson,Republican,Statewide,17
Cass,President,Ben Carson,Republican,Statewide,67
Dearborn,President,Ben Carson,Republican,Statewide,47
Elkhart,President,Ben Carson,Republican,Statewide,278
Adams,President,Ben Carson,Republican,Statewide,90
Carroll,President,Ben Carson,Republican,Statewide,37
Clay,President,Ben Carson,Republican,Statewide,38
Clinton,President,Ben Carson,Republican,Statewide,81
Crawford,President,Ben Carson,Republican,Statewide,17
Daviess,President,Ben Carson,Republican,Statewide,69
DeKalb,President,Ben Carson,Republican,Statewide,92
Dubois,President,Ben Carson,Republican,Statewide,72
Benton,President,Ben Carson,Republican,Statewide,28
Brown,President,Ben Carson,Republican,Statewide,33
Clark,President,Ben Carson,Republican,Statewide,140
Bartholomew,President,Carly Fiorina,Republican,Statewide,30
Blackford,President,Carly Fiorina,Republican,Statewide,1
Brown,President,Carly Fiorina,Republican,Statewide,9
Carroll,President,Carly Fiorina,Republican,Statewide,9
Cass,President,Carly Fiorina,Republican,Statewide,9
Daviess,President,Carly Fiorina,Republican,Statewide,9
DeKalb,President,Carly Fiorina,Republican,Statewide,18
Dubois,President,Carly Fiorina,Republican,Statewide,11
Allen,President,Carly Fiorina,Republican,Statewide,60
Benton,President,Carly Fiorina,Republican,Statewide,2
Clark,President,Carly Fiorina,Republican,Statewide,18
Boone,President,Carly Fiorina,Republican,Statewide,24
Clay,President,Carly Fiorina,Republican,Statewide,10
Dearborn,President,Carly Fiorina,Republican,Statewide,5
Decatur,President,Carly Fiorina,Republican,Statewide,6
Delaware,President,Carly Fiorina,Republican,Statewide,28
