County,Office,Candidate,Party,District,Votes
Benton,United States Representative,Peter J. Visclosky,Democratic,District 1,85
Benton,United States Representative,Ralph Spelbring,Democratic,District 1,71
Benton,United States Representative,Cyril B. (Cy) Huerter,Republican,District 1,282
Benton,United States Representative,Mark J. Leyva,Republican,District 1,380
Elkhart,United States Representative,Jill Long Thompson,Democratic,District 2,1255
Carroll,United States Representative,Jill Long Thompson,Democratic,District 2,493
Cass,United States Representative,Jill Long Thompson,Democratic,District 2,946
Carroll,United States Representative,Kathy Cekanski Farrand,Democratic,District 2,71
Cass,United States Representative,Kathy Cekanski Farrand,Democratic,District 2,56
Elkhart,United States Representative,Kathy Cekanski Farrand,Democratic,District 2,119
Cass,United States Representative,Mark J. Meissner,Democratic,District 2,70
Elkhart,United States Representative,Mark J. Meissner,Democratic,District 2,367
Carroll,United States Representative,Mark J. Meissner,Democratic,District 2,69
Elkhart,United States Representative,Steven W. Osborn,Democratic,District 2,142
Carroll,United States Representative,Steven W. Osborn,Democratic,District 2,104
Cass,United States Representative,Steven W. Osborn,Democratic,District 2,94
Cass,United States Representative,William E. Alexa,Democratic,District 2,301
Elkhart,United States Representative,William E. Alexa,Democratic,District 2,135
Carroll,United States Representative,William E. Alexa,Democratic,District 2,83
Elkhart,United States Representative,Chris Chocola,Republican,District 2,5985
Carroll,United States Representative,Chris Chocola,Republican,District 2,919
Cass,United States Representative,Chris Chocola,Republican,District 2,1550
Carroll,United States Representative,Lewis F. (Farmer) Hass,Republican,District 2,1216
Cass,United States Representative,Lewis F. (Farmer) Hass,Republican,District 2,997
Elkhart,United States Representative,Lewis F. (Farmer) Hass,Republican,District 2,1099
DeKalb,United States Representative,Jay Rigdon,Democratic,District 3,645
Elkhart,United States Representative,Jay Rigdon,Democratic,District 3,1000
Allen,United States Representative,Jay Rigdon,Democratic,District 3,3687
DeKalb,United States Representative,Mark E. Souder,Republican,District 3,3889
Allen,United States Representative,Mark E. Souder,Republican,District 3,23848
Elkhart,United States Representative,Mark E. Souder,Republican,District 3,7325
DeKalb,United States Representative,Paul Helmke,Republican,District 3,2309
Elkhart,United States Representative,Paul Helmke,Republican,District 3,3482
Allen,United States Representative,Paul Helmke,Republican,District 3,16859
Allen,United States Representative,William R. Larsen,Republican,District 3,926
Elkhart,United States Representative,William R. Larsen,Republican,District 3,674
DeKalb,United States Representative,William R. Larsen,Republican,District 3,237
Clinton,United States Representative,Bob Smith,Republican,District 4,72
Boone,United States Representative,Bob Smith,Republican,District 4,129
Clinton,United States Representative,Brian Kerns,Republican,District 4,915
Boone,United States Representative,Brian Kerns,Republican,District 4,1986
Clinton,United States Representative,R. Michael Young,Republican,District 4,202
Boone,United States Representative,R. Michael Young,Republican,District 4,319
Boone,United States Representative,Steve Buyer,Republican,District 4,4372
Clinton,United States Representative,Steve Buyer,Republican,District 4,2694
Boone,United States Representative,Thomas J. Herr,Republican,District 4,282
Clinton,United States Representative,Thomas J. Herr,Republican,District 4,119
Boone,United States Representative,Tim Baynard,Republican,District 4,157
Clinton,United States Representative,Tim Baynard,Republican,District 4,80
