County,Office,Candidate,Party,District,Votes
Adams,President,Barack Obama,Democratic,Statewide,842
Carroll,President,Barack Obama,Democratic,Statewide,358
Clay,President,Barack Obama,Democratic,Statewide,1185
Clinton,President,Barack Obama,Democratic,Statewide,473
Crawford,President,Barack Obama,Democratic,Statewide,595
Daviess,President,Barack Obama,Democratic,Statewide,427
DeKalb,President,Barack Obama,Democratic,Statewide,506
Allen,President,Barack Obama,Democratic,Statewide,7542
Bartholomew,President,Barack Obama,Democratic,Statewide,1379
Boone,President,Barack Obama,Democratic,Statewide,1263
Dearborn,President,Barack Obama,Democratic,Statewide,1003
Elkhart,President,Barack Obama,Democratic,Statewide,2587
Blackford,President,Barack Obama,Democratic,Statewide,551
Brown,President,Barack Obama,Democratic,Statewide,834
Cass,President,Barack Obama,Democratic,Statewide,1053
Delaware,President,Barack Obama,Democratic,Statewide,7698
Benton,President,Barack Obama,Democratic,Statewide,100
Clark,President,Barack Obama,Democratic,Statewide,4275
Decatur,President,Barack Obama,Democratic,Statewide,369
Dubois,President,Barack Obama,Democratic,Statewide,1441
Bartholomew,President,Mitt Romney,Republican,Statewide,6551
Carroll,President,Mitt Romney,Republican,Statewide,1742
Daviess,President,Mitt Romney,Republican,Statewide,2221
Decatur,President,Mitt Romney,Republican,Statewide,2415
DeKalb,President,Mitt Romney,Republican,Statewide,3233
Delaware,President,Mitt Romney,Republican,Statewide,6287
Dubois,President,Mitt Romney,Republican,Statewide,2094
Brown,President,Mitt Romney,Republican,Statewide,1504
Dearborn,President,Mitt Romney,Republican,Statewide,3561
Elkhart,President,Mitt Romney,Republican,Statewide,12358
Adams,President,Mitt Romney,Republican,Statewide,2438
Boone,President,Mitt Romney,Republican,Statewide,8236
Clay,President,Mitt Romney,Republican,Statewide,1874
Clinton,President,Mitt Romney,Republican,Statewide,2758
Crawford,President,Mitt Romney,Republican,Statewide,552
Allen,President,Mitt Romney,Republican,Statewide,23140
Benton,President,Mitt Romney,Republican,Statewide,965
Blackford,President,Mitt Romney,Republican,Statewide,760
Cass,President,Mitt Romney,Republican,Statewide,2768
Clark,President,Mitt Romney,Republican,Statewide,4565
Adams,President,Newt Gingrich,Republican,Statewide,275
Carroll,President,Newt Gingrich,Republican,Statewide,259
Clay,President,Newt Gingrich,Republican,Statewide,227
Clinton,President,Newt Gingrich,Republican,Statewide,389
Crawford,President,Newt Gingrich,Republican,Statewide,90
Daviess,President,Newt Gingrich,Republican,Statewide,304
DeKalb,President,Newt Gingrich,Republican,Statewide,268
Benton,President,Newt Gingrich,Republican,Statewide,108
Brown,President,Newt Gingrich,Republican,Statewide,181
Dubois,President,Newt Gingrich,Republican,Statewide,183
Bartholomew,President,Newt Gingrich,Republican,Statewide,699
Blackford,President,Newt Gingrich,Republican,Statewide,80
Clark,President,Newt Gingrich,Republican,Statewide,424
Decatur,President,Newt Gingrich,Republican,Statewide,311
Delaware,President,Newt Gingrich,Republican,Statewide,609
Allen,President,Newt Gingrich,Republican,Statewide,1713
Boone,President,Newt Gingrich,Republican,Statewide,809
Cass,President,Newt Gingrich,Republican,Statewide,399
Dearborn,President,Newt Gingrich,Republican,Statewide,335
Elkhart,President,Newt Gingrich,Republican,Statewide,1013
Adams,President,Rick Santorum,Republican,Statewide,804
