County,Office,Candidate,Party,District,Votes
Brown,President,Barack Obama,Democratic,Statewide,3854
Carroll,President,Barack Obama,Democratic,Statewide,3736
Cass,President,Barack Obama,Democratic,Statewide,7011
Daviess,President,Barack Obama,Democratic,Statewide,3370
Decatur,President,Barack Obama,Democratic,Statewide,3892
Delaware,President,Barack Obama,Democratic,Statewide,28384
Dubois,President,Barack Obama,Democratic,Statewide,8748
Allen,President,Barack Obama,Democratic,Statewide,71263
Bartholomew,President,Barack Obama,Democratic,Statewide,13567
Benton,President,Barack Obama,Democratic,Statewide,1563
Blackford,President,Barack Obama,Democratic,Statewide,2677
Clark,President,Barack Obama,Democratic,Statewide,21953
Adams,President,Barack Obama,Democratic,Statewide,4928
Boone,President,Barack Obama,Democratic,Statewide,9752
Clay,President,Barack Obama,Democratic,Statewide,4954
Dearborn,President,Barack Obama,Democratic,Statewide,7123
DeKalb,President,Barack Obama,Democratic,Statewide,7175
Elkhart,President,Barack Obama,Democratic,Statewide,31398
Clinton,President,Barack Obama,Democratic,Statewide,5307
Crawford,President,Barack Obama,Democratic,Statewide,2286
Allen,President,Bob Barr,Libertarian,Statewide,1114
Bartholomew,President,Bob Barr,Libertarian,Statewide,359
Boone,President,Bob Barr,Libertarian,Statewide,258
Cass,President,Bob Barr,Libertarian,Statewide,265
Dearborn,President,Bob Barr,Libertarian,Statewide,208
Adams,President,Bob Barr,Libertarian,Statewide,170
Carroll,President,Bob Barr,Libertarian,Statewide,133
Clay,President,Bob Barr,Libertarian,Statewide,168
Clinton,President,Bob Barr,Libertarian,Statewide,153
Crawford,President,Bob Barr,Libertarian,Statewide,65
Daviess,President,Bob Barr,Libertarian,Statewide,117
DeKalb,President,Bob Barr,Libertarian,Statewide,178
Blackford,President,Bob Barr,Libertarian,Statewide,68
Clark,President,Bob Barr,Libertarian,Statewide,406
Decatur,President,Bob Barr,Libertarian,Statewide,147
Delaware,President,Bob Barr,Libertarian,Statewide,563
Elkhart,President,Bob Barr,Libertarian,Statewide,618
Benton,President,Bob Barr,Libertarian,Statewide,64
Brown,President,Bob Barr,Libertarian,Statewide,129
Dubois,President,Bob Barr,Libertarian,Statewide,275
