County,Office,Candidate,Party,District,Votes
Elkhart,United States Representative,Bob Kern,Democratic,District 2,498
Elkhart,United States Representative,Dan Morrison,Democratic,District 2,989
Elkhart,United States Representative,Douglas M. Carpenter,Democratic,District 2,401
Elkhart,United States Representative,Joe Bock,Democratic,District 2,2065
Elkhart,United States Representative,Jackie Walorski,Republican,District 2,12036
Allen,United States Representative,Jim Redmond,Democratic,District 3,1396
Adams,United States Representative,Jim Redmond,Democratic,District 3,75
Blackford,United States Representative,Jim Redmond,Democratic,District 3,22
DeKalb,United States Representative,Jim Redmond,Democratic,District 3,179
Blackford,United States Representative,Justin Kuhnle,Democratic,District 3,17
Adams,United States Representative,Justin Kuhnle,Democratic,District 3,295
Allen,United States Representative,Justin Kuhnle,Democratic,District 3,1546
DeKalb,United States Representative,Justin Kuhnle,Democratic,District 3,83
DeKalb,United States Representative,Tommy A. Schrader,Democratic,District 3,77
Blackford,United States Representative,Tommy A. Schrader,Democratic,District 3,53
Allen,United States Representative,Tommy A. Schrader,Democratic,District 3,1339
Adams,United States Representative,Tommy A. Schrader,Democratic,District 3,111
Allen,United States Representative,James (Jim) E. Mahoney III,Republican,District 3,1915
Adams,United States Representative,James (Jim) E. Mahoney III,Republican,District 3,238
DeKalb,United States Representative,James (Jim) E. Mahoney III,Republican,District 3,111
Blackford,United States Representative,James (Jim) E. Mahoney III,Republican,District 3,32
Adams,United States Representative,Mark William Baringer,Republican,District 3,262
DeKalb,United States Representative,Mark William Baringer,Republican,District 3,148
Blackford,United States Representative,Mark William Baringer,Republican,District 3,44
Allen,United States Representative,Mark William Baringer,Republican,District 3,2539
Adams,United States Representative,Marlin A. Stutzman,Republican,District 3,2279
Allen,United States Representative,Marlin A. Stutzman,Republican,District 3,20580
Blackford,United States Representative,Marlin A. Stutzman,Republican,District 3,125
DeKalb,United States Representative,Marlin A. Stutzman,Republican,District 3,1462
Boone,United States Representative,Howard Joseph Pollchik,Democratic,District 4,24
Carroll,United States Representative,Howard Joseph Pollchik,Democratic,District 4,24
Clinton,United States Representative,Howard Joseph Pollchik,Democratic,District 4,24
Cass,United States Representative,Howard Joseph Pollchik,Democratic,District 4,51
Benton,United States Representative,Howard Joseph Pollchik,Democratic,District 4,7
Carroll,United States Representative,Jeffrey Oliver Blaydes,Democratic,District 4,52
Cass,United States Representative,Jeffrey Oliver Blaydes,Democratic,District 4,98
Clinton,United States Representative,Jeffrey Oliver Blaydes,Democratic,District 4,64
Boone,United States Representative,Jeffrey Oliver Blaydes,Democratic,District 4,30
Benton,United States Representative,Jeffrey Oliver Blaydes,Democratic,District 4,11
Carroll,United States Representative,John Dale,Democratic,District 4,87
Cass,United States Representative,John Dale,Democratic,District 4,236
Boone,United States Representative,John Dale,Democratic,District 4,118
Benton,United States Representative,John Dale,Democratic,District 4,21
Clinton,United States Representative,John Dale,Democratic,District 4,164
Benton,United States Representative,John L. Futrell,Democratic,District 4,8
Cass,United States Representative,John L. Futrell,Democratic,District 4,44
Carroll,United States Representative,John L. Futrell,Democratic,District 4,14
Boone,United States Representative,John L. Futrell,Democratic,District 4,9
Clinton,United States Representative,John L. Futrell,Democratic,District 4,31
Benton,United States Representative,Roger D. Day,Democratic,District 4,41
Carroll,United States Representative,Roger D. Day,Democratic,District 4,71
Boone,United States Representative,Roger D. Day,Democratic,District 4,67
Cass,United States Representative,Roger D. Day,Democratic,District 4,268
Clinton,United States Representative,Roger D. Day,Democratic,District 4,88
Clinton,United States Representative,Kevin J. Grant,Republican,District 4,867
Benton,United States Representative,Kevin J. Grant,Republican,District 4,479
Cass,United States Representative,Kevin J. Grant,Republican,District 4,631
Boone,United States Representative,Kevin J. Grant,Republican,District 4,760
Carroll,United States Representative,Kevin J. Grant,Republican,District 4,574
Carroll,United States Representative,Todd Rokita,Republican,District 4,1447
Clinton,United States Representative,Todd Rokita,Republican,District 4,2310
Benton,United States Representative,Todd Rokita,Republican,District 4,1013
Cass,United States Representative,Todd Rokita,Republican,District 4,1384
Boone,United States Representative,Todd Rokita,Republican,District 4,2601
Boone,United States Representative,Allen Ray Davidson,Democratic,District 5,44
Blackford,United States Representative,Allen Ray Davidson,Democratic,District 5,35
Blackford,United States Representative,David William Ford,Democratic,District 5,223
Boone,United States Representative,David William Ford,Democratic,District 5,60
Blackford,United States Representative,Shawn A. Denney,Democratic,District 5,55
Boone,United States Representative,Shawn A. Denney,Democratic,District 5,69
Blackford,United States Representative,David M. (Mike) Campbell,Republican,District 5,100
Boone,United States Representative,David M. (Mike) Campbell,Republican,District 5,346
Boone,United States Representative,David S. Stockdale,Republican,District 5,415
Blackford,United States Representative,David S. Stockdale,Republican,District 5,28
Blackford,United States Representative,Susan Brooks,Republican,District 5,433
Boone,United States Representative,Susan Brooks,Republican,District 5,2160
Bartholomew,United States Representative,Corinne Nicole Westerfield,Democratic,District 6,225
Dearborn,United States Representative,Corinne Nicole Westerfield,Democratic,District 6,113
Decatur,United States Representative,Corinne Nicole Westerfield,Democratic,District 6,139
Delaware,United States Representative,Corinne Nicole Westerfield,Democratic,District 6,946
Bartholomew,United States Representative,Lane Siekman,Democratic,District 6,243
Decatur,United States Representative,Lane Siekman,Democratic,District 6,93
Delaware,United States Representative,Lane Siekman,Democratic,District 6,916
Dearborn,United States Representative,Lane Siekman,Democratic,District 6,385
Dearborn,United States Representative,Susan Hall Heitzman,Democratic,District 6,162
Bartholomew,United States Representative,Susan Hall Heitzman,Democratic,District 6,591
Decatur,United States Representative,Susan Hall Heitzman,Democratic,District 6,218
Delaware,United States Representative,Susan Hall Heitzman,Democratic,District 6,2130
Dearborn,United States Representative,Luke Messer,Republican,District 6,2426
Bartholomew,United States Representative,Luke Messer,Republican,District 6,6877
Decatur,United States Representative,Luke Messer,Republican,District 6,1628
Delaware,United States Representative,Luke Messer,Republican,District 6,3643
Dubois,United States Representative,Tom Spangler,Democratic,District 8,1080
Clay,United States Representative,Tom Spangler,Democratic,District 8,1104
Crawford,United States Representative,Tom Spangler,Democratic,District 8,103
Daviess,United States Representative,Tom Spangler,Democratic,District 8,175
Clay,United States Representative,Andrew T. McNeil,Republican,District 8,866
Crawford,United States Representative,Andrew T. McNeil,Republican,District 8,54
Dubois,United States Representative,Andrew T. McNeil,Republican,District 8,764
Daviess,United States Representative,Andrew T. McNeil,Republican,District 8,879
Clay,United States Representative,Larry D. Bucshon,Republican,District 8,2163
Crawford,United States Representative,Larry D. Bucshon,Republican,District 8,81
Daviess,United States Representative,Larry D. Bucshon,Republican,District 8,3635
Dubois,United States Representative,Larry D. Bucshon,Republican,District 8,1647
Brown,United States Representative,Bill Bailey,Democratic,District 9,377
Clark,United States Representative,Bill Bailey,Democratic,District 9,2674
Crawford,United States Representative,Bill Bailey,Democratic,District 9,295
Brown,United States Representative,J.S. Miller,Democratic,District 9,259
Clark,United States Representative,J.S. Miller,Democratic,District 9,824
Crawford,United States Representative,J.S. Miller,Democratic,District 9,114
Brown,United States Representative,James R. McClure Jr.,Democratic,District 9,174
Crawford,United States Representative,James R. McClure Jr.,Democratic,District 9,264
Clark,United States Representative,James R. McClure Jr.,Democratic,District 9,1865
Brown,United States Representative,William Joseph (Billy) Thomas,Democratic,District 9,113
Crawford,United States Representative,William Joseph (Billy) Thomas,Democratic,District 9,154
Clark,United States Representative,William Joseph (Billy) Thomas,Democratic,District 9,862
Clark,United States Representative,Kathy Lowe Heil,Republican,District 9,391
Crawford,United States Representative,Kathy Lowe Heil,Republican,District 9,63
Brown,United States Representative,Kathy Lowe Heil,Republican,District 9,279
Crawford,United States Representative,Mark G. Jones,Republican,District 9,68
Brown,United States Representative,Mark G. Jones,Republican,District 9,135
Clark,United States Representative,Mark G. Jones,Republican,District 9,124
Brown,United States Representative,Todd Young,Republican,District 9,1374
Clark,United States Representative,Todd Young,Republican,District 9,2313
Crawford,United States Representative,Todd Young,Republican,District 9,637
Benton,State Senator,Lon P. Childress,Democratic,District 6,29
Benton,State Senator,Roxanna Hanford,Democratic,District 6,61
Benton,State Senator,Chris M. Shepherd,Republican,District 6,703
Benton,State Senator,Rick Niemeyer,Republican,District 6,709
Elkhart,State Senator,Joe Zakas,Republican,District 11,3104
Allen,State Senator,Dennis K. Kruse,Republican,District 14,7190
DeKalb,State Senator,Dennis K. Kruse,Republican,District 14,1165
Allen,State Senator,Jack E. Morris,Democratic,District 15,1552
Allen,State Senator,Darren Vogt,Republican,District 15,2118
Allen,State Senator,Jeffrey A. Snyder,Republican,District 15,567
Allen,State Senator,Ken Fries,Republican,District 15,3296
Allen,State Senator,Liz Brown,Republican,District 15,3645
Blackford,State Senator,Travis Holdman,Republican,District 19,741
Adams,State Senator,Travis Holdman,Republican,District 19,2521
Clinton,State Senator,James R. Buck,Republican,District 21,188
Boone,State Senator,Philip L. (Phil) Boots,Republican,District 23,2764
Delaware,State Senator,Tim Lanane,Democratic,District 25,2951
Delaware,State Senator,Doug Eckerty,Republican,District 26,1487
Dearborn,State Senator,Jerome (Jake) Hoog,Democratic,District 27,96
Dearborn,State Senator,Doug Williamson,Republican,District 27,63
Dearborn,State Senator,Eric Atkinson,Republican,District 27,30
