County,Office,Candidate,Party,District,Votes
Boone,President,Dennis J. Kucinich,Democratic,Statewide,14
Brown,President,Dennis J. Kucinich,Democratic,Statewide,39
Dearborn,President,Dennis J. Kucinich,Democratic,Statewide,16
Elkhart,President,Dennis J. Kucinich,Democratic,Statewide,110
Allen,President,Dennis J. Kucinich,Democratic,Statewide,216
Benton,President,Dennis J. Kucinich,Democratic,Statewide,0
Cass,President,Dennis J. Kucinich,Democratic,Statewide,28
Dubois,President,Dennis J. Kucinich,Democratic,Statewide,52
Bartholomew,President,Dennis J. Kucinich,Democratic,Statewide,59
Blackford,President,Dennis J. Kucinich,Democratic,Statewide,8
Carroll,President,Dennis J. Kucinich,Democratic,Statewide,8
Daviess,President,Dennis J. Kucinich,Democratic,Statewide,13
Decatur,President,Dennis J. Kucinich,Democratic,Statewide,9
DeKalb,President,Dennis J. Kucinich,Democratic,Statewide,22
Delaware,President,Dennis J. Kucinich,Democratic,Statewide,183
Adams,President,Dennis J. Kucinich,Democratic,Statewide,26
Clark,President,Dennis J. Kucinich,Democratic,Statewide,171
Clay,President,Dennis J. Kucinich,Democratic,Statewide,22
Clinton,President,Dennis J. Kucinich,Democratic,Statewide,21
Crawford,President,Dennis J. Kucinich,Democratic,Statewide,27
Adams,President,Howard Dean,Democratic,Statewide,99
Clark,President,Howard Dean,Democratic,Statewide,764
Delaware,President,Howard Dean,Democratic,Statewide,747
Bartholomew,President,Howard Dean,Democratic,Statewide,259
Benton,President,Howard Dean,Democratic,Statewide,23
Brown,President,Howard Dean,Democratic,Statewide,87
Cass,President,Howard Dean,Democratic,Statewide,141
Decatur,President,Howard Dean,Democratic,Statewide,49
Allen,President,Howard Dean,Democratic,Statewide,624
Carroll,President,Howard Dean,Democratic,Statewide,60
Clay,President,Howard Dean,Democratic,Statewide,153
Clinton,President,Howard Dean,Democratic,Statewide,74
Crawford,President,Howard Dean,Democratic,Statewide,102
Daviess,President,Howard Dean,Democratic,Statewide,86
DeKalb,President,Howard Dean,Democratic,Statewide,67
Dubois,President,Howard Dean,Democratic,Statewide,437
Blackford,President,Howard Dean,Democratic,Statewide,79
Boone,President,Howard Dean,Democratic,Statewide,53
Dearborn,President,Howard Dean,Democratic,Statewide,87
Elkhart,President,Howard Dean,Democratic,Statewide,247
Brown,President,John Edwards,Democratic,Statewide,145
Cass,President,John Edwards,Democratic,Statewide,229
Decatur,President,John Edwards,Democratic,Statewide,80
Delaware,President,John Edwards,Democratic,Statewide,1285
Dubois,President,John Edwards,Democratic,Statewide,554
Allen,President,John Edwards,Democratic,Statewide,937
Bartholomew,President,John Edwards,Democratic,Statewide,451
Benton,President,John Edwards,Democratic,Statewide,35
Adams,President,John Edwards,Democratic,Statewide,138
Boone,President,John Edwards,Democratic,Statewide,106
Carroll,President,John Edwards,Democratic,Statewide,94
Clay,President,John Edwards,Democratic,Statewide,312
Daviess,President,John Edwards,Democratic,Statewide,125
DeKalb,President,John Edwards,Democratic,Statewide,128
Elkhart,President,John Edwards,Democratic,Statewide,317
Clinton,President,John Edwards,Democratic,Statewide,147
Crawford,President,John Edwards,Democratic,Statewide,127
Dearborn,President,John Edwards,Democratic,Statewide,171
Blackford,President,John Edwards,Democratic,Statewide,129
Clark,President,John Edwards,Democratic,Statewide,1220
Blackford,President,John F. Kerry,Democratic,Statewide,689
Boone,President,John F. Kerry,Democratic,Statewide,575
Brown,President,John F. Kerry,Democratic,Statewide,909
Dearborn,President,John F. Kerry,Democratic,Statewide,1007
Decatur,President,John F. Kerry,Democratic,Statewide,455
Delaware,President,John F. Kerry,Democratic,Statewide,7303
Elkhart,President,John F. Kerry,Democratic,Statewide,2629
Allen,President,John F. Kerry,Democratic,Statewide,6242
Bartholomew,President,John F. Kerry,Democratic,Statewide,2770
Carroll,President,John F. Kerry,Democratic,Statewide,592
Cass,President,John F. Kerry,Democratic,Statewide,1178
Daviess,President,John F. Kerry,Democratic,Statewide,632
Adams,President,John F. Kerry,Democratic,Statewide,822
Clay,President,John F. Kerry,Democratic,Statewide,1337
Clinton,President,John F. Kerry,Democratic,Statewide,794
DeKalb,President,John F. Kerry,Democratic,Statewide,858
Benton,President,John F. Kerry,Democratic,Statewide,189
Clark,President,John F. Kerry,Democratic,Statewide,6414
Crawford,President,John F. Kerry,Democratic,Statewide,969
Dubois,President,John F. Kerry,Democratic,Statewide,2794
Benton,President,"Lyndon H. LaRouche, Jr.",Democratic,Statewide,1
Brown,President,"Lyndon H. LaRouche, Jr.",Democratic,Statewide,21
Clark,President,"Lyndon H. LaRouche, Jr.",Democratic,Statewide,193
Blackford,President,"Lyndon H. LaRouche, Jr.",Democratic,Statewide,10
Cass,President,"Lyndon H. LaRouche, Jr.",Democratic,Statewide,31
Allen,President,"Lyndon H. LaRouche, Jr.",Democratic,Statewide,88
Bartholomew,President,"Lyndon H. LaRouche, Jr.",Democratic,Statewide,30
Boone,President,"Lyndon H. LaRouche, Jr.",Democratic,Statewide,7
Elkhart,President,"Lyndon H. LaRouche, Jr.",Democratic,Statewide,32
Adams,President,"Lyndon H. LaRouche, Jr.",Democratic,Statewide,12
Clay,President,"Lyndon H. LaRouche, Jr.",Democratic,Statewide,32
Clinton,President,"Lyndon H. LaRouche, Jr.",Democratic,Statewide,7
Crawford,President,"Lyndon H. LaRouche, Jr.",Democratic,Statewide,21
Dearborn,President,"Lyndon H. LaRouche, Jr.",Democratic,Statewide,13
DeKalb,President,"Lyndon H. LaRouche, Jr.",Democratic,Statewide,13
